Type,id,discharge_can_retire,storage_long_duration,storage_constraints--LongDurationStorageImplicitMinMaxConstraint,storage_constraints--StorageCapacityConstraint,storage_constraints--StorageMaxDurationConstraint,storage_constraints--StorageChargeDischargeRatioConstraint,storage_constraints--BalanceConstraint,storage_commodity,storage_can_retire,charge_can_retire,location,storage--charge_discharge_ratio,storage--max_duration,edges--discharge_edge--investment_cost,edges--discharge_edge--distance,edges--discharge_edge--capacity_size,edges--discharge_edge--end_vertex,transforms--electricity_consumption
GasStorage,h2pipe_SE_to_MIDAT,false,true,true,true,true,true,true,Hydrogen,false,false,SE,1,8.846121602,92792.12407,491.4512001,787.6,h2_MIDAT,0.0683
GasStorage,h2pipe_MIDAT_to_SE,false,true,true,true,true,true,true,Hydrogen,false,false,MIDAT,1,8.846121602,92792.12407,491.4512001,787.6,h2_SE,0.0683
GasStorage,h2pipe_NE_to_MIDAT,false,true,true,true,true,true,true,Hydrogen,false,false,NE,1,8.525925965,89059.0723,473.6625536,787.6,h2_MIDAT,0.06449
GasStorage,h2pipe_MIDAT_to_NE,false,true,true,true,true,true,true,Hydrogen,false,false,MIDAT,1,8.525925965,89059.0723,473.6625536,787.6,h2_NE,0.06449
