Resource,MA_natural_gas_combined_cycle,CT_natural_gas_combined_cycle,ME_natural_gas_combined_cycle,MA_solar_pv,CT_onshore_wind,CT_solar_pv,ME_onshore_wind,MA_battery,CT_battery,ME_battery,Total
Zone,1,2,3,1,2,2,3,1,2,3,0
t75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7243.320476938394,0.0,0.0,7243.320476938394
t82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11939.137890430175,3612.97762247731,0.0,15552.115512907485
t83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12163.255146390313,15105.31601017464,0.0,27268.571156564954
t85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12163.255146390313,0.0,656.4212248754058,12819.67637126572
t86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8567.611013913001,0.0,0.0,8567.611013913001
t87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12163.255146390313,15105.31601017464,2434.3637935288007,29702.934950093753
t88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11608.909299263076,0.0,0.0,11608.909299263076
t89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5641.333275341061,3920.612601928726,0.0,9561.945877269787
t90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11434.185254100244,0.0,0.0,11434.185254100244
t107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5693.83961412459,0.0,0.0,5693.83961412459
t108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12163.255146390313,0.0,1440.0613770610016,13603.316523451314
t109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1196.1841421820027,2101.0,0.0,3297.1841421820027
t110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12163.255146390313,15105.31601017464,0.0,27268.571156564954
t111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1566.4224105131245,2147.0,3713.4224105131243
t112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6650.53589906341,0.0,0.0,6650.53589906341
t113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2505.2363241644453,0.0,0.0,2505.2363241644453
t114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
