Resource,Fuel,Zone,AnnualSumCosts
MA_natural_gas_combined_cycle,MA_NG,1,929513.7580098009
CT_natural_gas_combined_cycle,CT_NG,2,1.3098379193365998e6
ME_natural_gas_combined_cycle,ME_NG,3,1.3098379193366002e6
