Zone,1,2,3
t1,0.1,0.1,0.1
t2,0.1,0.1,0.1
t3,0.1,0.1,0.1
t4,0.1,0.1,0.1
t5,0.32722117202268425,0.32722117202268425,0.1
t6,0.32722117202268425,0.32722117202268425,0.1
t7,0.32722117202268425,0.32722117202268425,0.1
t8,0.32722117202268425,0.32722117202268425,0.1
t9,0.1,0.1,0.1
t10,0.0,0.0,0.0
t11,0.0,0.0,0.0
t12,0.0,0.0,0.0
t13,0.0,0.0,0.0
t14,0.0,0.0,0.0
t15,0.0,0.0,0.0
t16,0.0,0.0,0.0
t17,0.0,0.0,0.0
t18,0.32722117202268425,0.32722117202268425,0.32722117202268425
t19,0.32722117202268425,0.32722117202268425,0.1
t20,0.32722117202268425,0.32722117202268425,0.1
t21,0.32722117202268425,0.32722117202268425,0.1
t22,0.32722117202268425,0.32722117202268425,0.1
t23,0.1,0.1,0.1
t24,0.1,0.1,0.1
t25,8776.077644778157,8776.077644778157,6440.874545902065
t26,8776.077644778157,8776.077644778157,6440.874545902065
t27,8776.077644778157,8776.077644778157,6440.874545902065
t28,8776.077644778157,8776.077644778157,6440.874545902065
t29,8776.077644778157,8776.077644778157,6440.874545902065
t30,8776.077644778157,8776.077644778157,7610.056127010946
t31,10369.038994303115,10369.038994303115,7610.056127010946
t32,10369.038994303115,10369.038994303115,6440.874545902065
t33,10369.038994303115,10369.038994303115,6440.874545902065
t34,10369.038994303115,10369.038994303115,6440.874545902065
t35,8776.077644778157,8776.077644778157,6440.874545902065
t36,8776.077644778157,8776.077644778157,6440.874545902065
t37,8776.077644778157,8776.077644778157,6440.874545902065
t38,8776.077644778157,8776.077644778157,6440.874545902065
t39,8776.077644778157,8776.077644778157,6440.874545902065
t40,10369.038994303115,10369.038994303115,6440.874545902065
t41,10369.038994303115,10369.038994303115,6440.874545902065
t42,10369.038994303115,10369.038994303115,7610.056127010946
t43,10369.038994303115,10369.038994303115,7610.056127010946
t44,10369.038994303115,8776.077644778157,7610.056127010946
t45,10369.038994303115,8776.077644778157,7610.056127010946
t46,8776.077644778157,8776.077644778157,7610.056127010946
t47,8776.077644778157,8776.077644778157,7610.056127010946
t48,8776.077644778157,8776.077644778157,6440.874545902065
t49,0.32722117202268425,0.32722117202268425,0.32722117202268425
t50,0.1,0.1,0.1
t51,0.1,0.1,0.1
t52,0.1,0.1,0.1
t53,0.32722117202268425,0.32722117202268425,0.32722117202268425
t54,0.32722117202268425,0.32722117202268425,0.32722117202268425
t55,0.32722117202268425,0.32722117202268425,0.32722117202268425
t56,0.32722117202268425,0.32722117202268425,0.32722117202268425
t57,0.1,0.1,0.1
t58,0.0,0.0,0.0
t59,0.0,0.0,0.0
t60,0.0,0.0,0.0
t61,0.0,0.0,0.0
t62,0.0,0.0,0.0
t63,0.0,0.0,0.0
t64,0.0,0.0,0.0
t65,0.0,0.0,0.0
t66,0.1,0.1,0.1
t67,0.32722117202268425,0.32722117202268425,0.32722117202268425
t68,0.32722117202268425,0.32722117202268425,0.32722117202268425
t69,0.32722117202268425,0.32722117202268425,0.32722117202268425
t70,0.32722117202268425,0.1,0.32722117202268425
t71,0.32722117202268425,0.32722117202268425,0.32722117202268425
t72,0.32722117202268425,0.32722117202268425,0.32722117202268425
t73,0.3272211720226843,0.3272211720226843,0.3272211720226843
t74,0.3272211720226843,0.3272211720226843,0.3272211720226843
t75,0.3272211720226843,0.3272211720226843,0.3272211720226843
t76,0.3272211720226843,0.3272211720226843,0.3272211720226843
t77,0.3272211720226843,0.3272211720226843,0.3272211720226843
t78,0.3272211720226843,0.3272211720226843,0.3272211720226843
t79,0.3272211720226843,0.3272211720226843,0.3272211720226843
t80,0.1,0.1,0.1
t81,0.0,0.0,0.0
t82,0.0,0.0,0.0
t83,0.0,0.0,0.0
t84,0.0,0.0,0.0
t85,0.0,0.0,0.0
t86,0.0,0.0,0.0
t87,0.0,0.0,0.0
t88,0.0,0.0,0.0
t89,0.0,0.0,0.0
t90,0.3272211720226843,0.3272211720226843,0.3272211720226843
t91,0.3272211720226843,0.3272211720226843,0.3272211720226843
t92,0.3272211720226843,0.3272211720226843,0.3272211720226843
t93,0.3272211720226843,0.3272211720226843,0.3272211720226843
t94,0.3272211720226843,0.3272211720226843,0.3272211720226843
t95,0.3272211720226843,0.3272211720226843,0.3272211720226843
t96,0.3272211720226843,0.3272211720226843,0.3272211720226843
t97,0.3272211720226843,0.3272211720226843,0.3272211720226843
t98,0.3272211720226843,0.3272211720226843,0.3272211720226843
t99,0.3272211720226843,0.3272211720226843,0.3272211720226843
t100,0.3272211720226843,0.3272211720226843,0.3272211720226843
t101,0.3272211720226843,0.3272211720226843,0.3272211720226843
t102,0.1,0.1,0.1
t103,0.3272211720226843,0.3272211720226843,0.3272211720226843
t104,0.0,0.0,0.0
t105,0.0,0.0,0.0
t106,0.0,0.0,0.0
t107,0.0,0.0,0.0
t108,0.0,0.0,0.0
t109,0.0,-6.296539277934691e-18,0.0
t110,0.0,0.0,0.0
t111,0.0,0.0,-6.296539277934691e-18
t112,0.0,0.0,0.0
t113,0.0,0.0,0.0
t114,0.3272211720226843,0.0,0.3272211720226843
t115,0.3272211720226843,0.3272211720226843,0.3272211720226843
t116,0.3272211720226843,0.3272211720226843,0.3272211720226843
t117,0.3272211720226843,0.3272211720226843,0.3272211720226843
t118,0.3272211720226843,0.3272211720226843,0.3272211720226843
t119,0.3272211720226843,0.3272211720226843,0.3272211720226843
t120,0.3272211720226843,0.3272211720226843,0.3272211720226843
t121,1054.5075557763876,0.32722117202268425,1054.5075557763876
t122,1054.5075557763876,0.32722117202268425,1054.5075557763876
t123,1054.5075557763876,0.32722117202268425,1054.5075557763876
t124,1054.5075557763876,0.32722117202268425,1054.5075557763876
t125,1054.5075557763876,0.32722117202268425,1054.5075557763876
t126,1054.5075557763876,0.32722117202268425,1054.5075557763876
t127,1054.5075557763876,0.32722117202268425,1054.5075557763876
t128,892.2582352091346,0.0,892.2582352091346
t129,892.2582352091346,0.0,892.2582352091346
t130,892.2582352091346,0.0,892.2582352091346
t131,892.2582352091346,0.0,892.2582352091346
t132,892.2582352091065,0.0,892.2582352091065
t133,892.2582352091346,0.0,892.2582352091346
t134,892.2582352091346,0.0,892.2582352091346
t135,892.2582352091346,0.0,892.2582352091346
t136,892.2582352091346,0.0,892.2582352091346
t137,892.2582352091346,0.0,892.2582352091346
t138,1054.5075557763876,0.1,1054.5075557763876
t139,1054.5075557763876,0.32722117202268425,1054.5075557763876
t140,1054.5075557763876,0.32722117202268425,1054.5075557763876
t141,1054.5075557763876,0.32722117202268425,1054.5075557763876
