Region,Resource,Zone,Cluster,AnnualSum
MA,MA_natural_gas_combined_cycle,1,1,2.1601911462113123e9
CT,CT_natural_gas_combined_cycle,2,1,3.150752171888196e9
ME,ME_natural_gas_combined_cycle,3,1,1.7659348440543997e9
MA,MA_solar_pv,1,1,3.9868755594884567e9
CT,CT_onshore_wind,2,1,1.404940397389739e9
CT,CT_solar_pv,2,1,5.113402462153466e9
ME,ME_onshore_wind,3,1,9.551210744600288e8
MA,MA_battery,1,0,3.969374833569391e9
CT,CT_battery,2,0,5.866715240455001e9
ME,ME_battery,3,0,9.247656592485217e8
