Resource,MA_natural_gas_combined_cycle,CT_natural_gas_combined_cycle,ME_natural_gas_combined_cycle,MA_solar_pv,CT_onshore_wind,CT_solar_pv,ME_onshore_wind,MA_battery,CT_battery,ME_battery
t51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11456.039874066735,6163.891729639456,582.9818302401522
t52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11456.039874066735,6163.891729639456,582.9818302401522
t53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11245.970832738636,6163.891729639456,582.9818302401522
t54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7278.407323583938,6163.891729639456,582.9818302401522
t55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7278.407323583938,0.0,0.0
t56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5689.530695893094,0.0,0.0
t59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5689.530695893094,2366.5775040577546,0.0
t60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5689.530695893094,2366.5775040577546,0.0
t61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6259.221138070846,2366.5775040577546,0.0
t62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6259.221138070846,2366.5775040577546,0.0
t63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17449.415872749934,11896.705082089517,1653.3990997117153
t64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21140.527155513275,11896.705082089517,1653.3990997117153
t65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26452.991189379085,11896.705082089517,1653.3990997117153
t66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26452.991189379085,11896.705082089517,1653.3990997117153
t67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24377.085107583374,6163.891729639456,1653.3990997117153
t68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19616.31000320382,6163.891729639456,1653.3990997117153
t69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16496.808182523095,6163.891729639456,1653.3990997117153
t70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14537.985980370946,6163.891729639456,1653.3990997117153
t71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13653.257542815883,6163.891729639456,582.9818302401522
t72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13001.70412168618,6163.891729639456,582.9818302401522
t73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31211.466132327158,16320.108695661096,0.0
t74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24148.556679214224,16320.108695661096,0.0
t75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16623.06708840211,16320.108695661096,0.0
t76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16623.06708840211,8640.693824967668,0.0
t77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16623.06708840211,1239.9334139189928,0.0
t78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10279.732127002942,0.0,0.0
t79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
