Type,id,storage--constraints--LongDurationStorageImplicitMinMaxConstraint,storage--constraints--StorageCapacityConstraint,storage--constraints--StorageMaxDurationConstraint,storage--constraints--StorageChargeDischargeRatioConstraint,storage--constraints--BalanceConstraint,storage--can_retire,storage--commodity,storage--can_expand,storage--long_duration,edges--compressor_elec_edge--unidirectional,edges--compressor_elec_edge--commodity,edges--compressor_elec_edge--has_capacity,edges--compressor_gas_edge--unidirectional,edges--compressor_gas_edge--commodity,edges--compressor_gas_edge--has_capacity,edges--discharge_edge--integer_decisions,edges--discharge_edge--can_retire,edges--discharge_edge--constraints--CapacityConstraint,edges--discharge_edge--unidirectional,edges--discharge_edge--commodity,edges--discharge_edge--can_expand,edges--discharge_edge--has_capacity,edges--charge_edge--constraints--CapacityConstraint,edges--charge_edge--can_retire,edges--charge_edge--unidirectional,edges--charge_edge--commodity,edges--charge_edge--can_expand,edges--charge_edge--has_capacity,transforms--constraints--BalanceConstraint,transforms--timedata,storage--charge_discharge_ratio,storage--max_duration,edges--compressor_elec_edge--start_vertex,edges--compressor_gas_edge--start_vertex,edges--discharge_edge--investment_cost,edges--discharge_edge--distance,edges--discharge_edge--capacity_size,edges--discharge_edge--end_vertex,transforms--electricity_consumption
GasStorage,h2pipe_SE_to_MIDAT,true,true,true,true,true,false,Hydrogen,true,true,true,Electricity,false,true,Hydrogen,false,false,false,true,true,Hydrogen,true,true,true,false,true,Hydrogen,true,true,true,Hydrogen,1,8.846121602,elec_SE,h2_SE,92792.12407,491.4512001,787.6,h2_MIDAT,0.0683
GasStorage,h2pipe_MIDAT_to_SE,true,true,true,true,true,false,Hydrogen,true,true,true,Electricity,false,true,Hydrogen,false,false,false,true,true,Hydrogen,true,true,true,false,true,Hydrogen,true,true,true,Hydrogen,1,8.846121602,elec_MIDAT,h2_MIDAT,92792.12407,491.4512001,787.6,h2_SE,0.0683
GasStorage,h2pipe_NE_to_MIDAT,true,true,true,true,true,false,Hydrogen,true,true,true,Electricity,false,true,Hydrogen,false,false,false,true,true,Hydrogen,true,true,true,false,true,Hydrogen,true,true,true,Hydrogen,1,8.525925965,elec_NE,h2_NE,89059.0723,473.6625536,787.6,h2_MIDAT,0.06449
GasStorage,h2pipe_MIDAT_to_NE,true,true,true,true,true,false,Hydrogen,true,true,true,Electricity,false,true,Hydrogen,false,false,false,true,true,Hydrogen,true,true,true,false,true,Hydrogen,true,true,true,Hydrogen,1,8.525925965,elec_MIDAT,h2_MIDAT,89059.0723,473.6625536,787.6,h2_NE,0.06449
