Time_Index,E_z1,E_z2,E_z3,H2_z1,H2_z2,H2_z3
102,9065,2589,1236,466.335864,2743.951635,1033.248051
103,10371,2962,1414,576.87921,3393.922347,1278.195192
104,11136,3181,1518,661.145859,3889.857249,1464.85035
105,11217,3204,1530,696.785517,4099.164732,1543.680441
106,11267,3218,1536,666.582417,3923.080659,1477.233621
107,11216,3203,1530,662.958045,3901.032396,1469.078784
108,11059,3159,1508,687.422556,4044.19509,1522.840302
109,10923,3119,1489,730.310958,4297.599099,1618.282098
110,10869,3104,1482,758.399841,4462.810056,1680.802515
111,10783,3080,1470,820.316196,4826.45538,1817.622558
112,10853,3100,1479,870.755373,5123.955915,1929.676059
113,11542,3296,1574,846.592893,4980.793221,1875.61251
114,12297,3512,1676,795.851685,4683.292686,1763.559009
115,12252,3499,1671,655.40727,3856.93587,1452.467079
116,11974,3420,1632,481.437414,2832.144687,1066.471461
117,11527,3292,1571,348.241743,2049.582366,771.991236
118,10788,3081,1471,262.162908,1542.774348,581.107644
119,9795,2797,1335,155.545965,914.549868,344.31534
120,8937,2553,1218,87.891021,517.983165,195.112026
121,8376,2392,1141,86.380866,508.922235,191.789685
122,8071,2305,1100,61.010262,359.114859,135.309888
123,7915,2260,1079,59.198076,347.637681,131.081454
124,7876,2249,1074,82.756494,487.780065,183.634848
125,8068,2304,1100,153.733779,904.582845,340.690968
126,8750,2499,1193,252.497916,1485.388458,559.361412
127,10032,2865,1368,383.277339,2255.265477,849.311172
128,10800,3085,1473,520.701444,3062.896371,1153.456389
129,10890,3110,1484,659.937735,3883.212567,1462.434102
130,10901,3113,1486,730.91502,4300.317378,1619.490222
131,10853,3100,1479,754.473438,4440.157731,1672.043616
132,10692,3053,1458,789.207003,4643.122563,1748.457459
133,10515,3003,1434,838.438056,4933.978416,1858.094712
134,10423,2976,1421,875.285838,5149.62855,1939.341051
135,10278,2935,1401,918.17424,5402.730528,2034.480816
136,10327,2950,1408,942.034689,5542.570881,2087.336241
137,10930,3121,1490,895.219884,5266.816578,1983.437577
138,11507,3286,1569,809.745111,4763.934963,1794.06414
139,11322,3234,1544,672.925068,3958.720317,1490.825016
140,10996,3140,1499,523.117692,3077.997921,1159.194978
141,10561,3016,1440,399.284982,2348.593056,884.346768
142,9994,2855,1363,311.695992,1833.32817,690.442866
143,9224,2635,1257,217.46232,1280.007378,482.041476
144,8432,2408,1150,140.746446,827.866971,311.695992
145,7819,2234,1066,86.984928,512.244576,192.997809
146,7480,2136,1020,112.053501,659.031642,248.269482
147,7296,2083,994,41.076216,241.322769,90.911331
148,7221,2063,984,64.030572,376.934688,141.95457
149,7293,2083,994,119.604276,704.034261,265.183218
150,7571,2162,1032,196.32015,1155.268575,434.92464
151,8073,2305,1100,299.916783,1764.465102,664.4682
152,8602,2456,1172,424.655586,2497.79637,940.826565
153,9143,2611,1247,554.830947,3264.95511,1229.568201
154,9471,2704,1291,714.001284,4201.553241,1582.340409
155,9563,2731,1303,815.785731,4799.574621,1807.353504
156,9486,2709,1293,836.62587,4923.709362,1854.168309
157,9312,2659,1269,833.001498,4901.057037,1845.711441
158,9115,2603,1242,807.932925,4754.269971,1790.439768
159,8976,2564,1224,790.717158,4652.787555,1752.081831
160,9072,2591,1236,756.285624,4449.822723,1675.667988
161,9736,2780,1328,719.739873,4235.380713,1595.025711
162,10403,2970,1418,645.138216,3795.321546,1429.210692
163,10280,2936,1402,554.830947,3264.95511,1229.568201
164,9950,2842,1357,443.683539,2610.755964,983.110905
165,9638,2752,1314,353.678301,2080.389528,783.468414
166,9187,2624,1252,274.84821,1617.980067,609.196527
167,8597,2455,1172,198.132336,1166.443722,439.455105
168,7948,2270,1084,135.007857,794.34153,299.01069
169,7404,2114,1010,48.929022,287.231481,108.127098
170,7089,2024,966,36.847782,216.556227,81.54837
171,6902,1971,941,52.855425,310.789899,117.188028
172,6852,1957,934,120.8124,711.283005,267.901497
173,6904,1972,941,248.873544,1464.85035,551.810637
174,7105,2029,969,405.023571,2383.628652,897.636132
175,7494,2140,1021,507.110049,2984.06628,1123.857351
176,7901,2256,1077,581.107644,3419.897013,1287.860184
177,8468,2418,1154,611.310744,3596.585148,1354.307004
178,8906,2544,1214,647.252433,3808.61091,1434.345219
179,9183,2623,1252,767.460771,4515.061419,1700.43453
180,9356,2672,1276,817.295886,4809.541644,1811.279907
181,9386,2680,1280,841.458366,4950.892152,1864.437363
182,9334,2665,1272,825.450723,4856.65848,1828.797705
183,9301,2656,1268,817.295886,4809.541644,1811.279907
184,9431,2694,1286,783.468414,4609.295091,1735.772157
185,10240,2925,1396,743.298291,4373.710911,1646.975043
186,11081,3165,1511,657.219456,3867.204924,1456.393482
187,11064,3160,1509,547.280172,3219.65046,1212.352434
188,10779,3078,1469,417.104811,2454.303906,924.21486
189,10405,2971,1418,317.13255,1865.343456,702.524106
190,9791,2796,1335,221.086692,1300.243455,489.592251
191,8983,2565,1225,136.820043,805.516677,303.239124
192,8276,2364,1128,80.944308,475.698825,179.104383
193,7813,2231,1065,75.205719,443.079477,167.023143
194,7590,2168,1035,54.36558,320.15286,120.510369
195,7507,2144,1024,50.137146,295.386318,111.147408
196,7536,2152,1027,74.299626,437.038857,164.606895
197,7808,2230,1065,133.799733,787.998879,296.594442
198,8592,2454,1171,219.576537,1292.69268,486.873972
199,10003,2857,1363,331.630038,1951.422291,734.841423
200,10818,3090,1475,453.0465,2665.423575,1003.649013
201,10898,3112,1486,572.348745,3367.041588,1267.926138
202,10909,3115,1487,634.869162,3736.425501,1407.162429
203,10903,3114,1487,654.803208,3853.311498,1451.258955
204,10810,3087,1474,683.194122,4019.428548,1513.779372
205,10627,3035,1449,726.988617,4277.967084,1611.033354
206,10513,3002,1434,759.607965,4468.850676,1682.916732
207,10366,2960,1414,794.945592,4678.158159,1761.746823
208,10401,2970,1418,814.879638,4795.044156,1805.843349
209,11101,3170,1514,775.313577,4561.272162,1717.650297
210,12044,3440,1642,701.920044,4130.273925,1555.45965
211,12015,3431,1638,582.617799,3428.655912,1291.182525
212,11693,3339,1594,450.932283,2653.040304,999.118548
213,11225,3205,1530,344.31534,2025.117855,762.628275
214,10453,2985,1425,266.693373,1569.655107,591.074667
215,9470,2704,1291,187.25922,1101.809088,414.990594
216,8600,2456,1172,119.302245,701.618013,264.277125
217,8029,2293,1095,51.043239,299.614752,112.959594
218,7745,2212,1055,37.451844,219.878568,82.756494
219,7589,2167,1035,52.553394,309.581775,116.583966
220,7578,2164,1033,122.322555,719.437842,270.921807
221,7797,2227,1063,263.069001,1548.512937,583.221861
222,8521,2434,1161,422.8434,2487.829347,936.900162
223,9893,2825,1349,523.117692,3077.091828,1158.892947
224,10626,3035,1449,599.531535,3526.815987,1328.030307
225,10665,3046,1454,631.546821,3716.793486,1399.611654
226,10719,3061,1461,604.364031,3556.717056,1339.507485
227,10723,3062,1462,601.04169,3536.78301,1331.95671
228,10619,3033,1448,623.089953,3666.65634,1380.885732
229,10444,2983,1424,662.353983,3896.501931,1467.266598
230,10355,2957,1412,687.724587,4046.309307,1523.746395
231,10262,2930,1399,743.600322,4376.127159,1647.881136
232,10332,2950,1408,789.509034,4645.840842,1749.665583
233,11008,3144,1501,767.460771,4515.967512,1700.736561
234,11778,3363,1605,721.552059,4246.253829,1598.952114
235,11691,3339,1594,594.397008,3496.914918,1316.85516
236,11401,3256,1555,436.434795,2567.565531,967.103262
237,10973,3134,1496,315.924426,1858.396743,699.805827
238,10250,2927,1398,237.698397,1398.705561,526.742064
239,9297,2655,1267,141.048477,829.377126,312.300054
240,8468,2418,1154,79.736184,469.658205,176.688135
241,7942,2269,1083,53.157456,312.904116,117.79209
242,7679,2193,1047,38.961999,229.54356,86.380866
243,7558,2158,1030,54.969642,323.475201,121.718493
244,7592,2168,1035,127.759113,751.151097,282.701016
245,7830,2236,1067,274.84821,1617.073974,608.894496
246,8613,2459,1174,441.569322,2597.4666,978.278409
247,9991,2854,1363,546.072048,3213.005778,1209.936186
248,10722,3062,1462,625.808232,3682.361952,1386.624321
249,10723,3062,1462,659.635704,3880.494288,1461.528009
250,10659,3044,1453,631.24479,3713.773176,1398.40353
251,10621,3033,1448,627.620418,3692.933037,1390.550724
252,10536,3009,1436,650.574774,3828.544956,1441.895994
253,10388,2966,1416,691.348959,4068.35757,1532.203263
254,10328,2950,1408,717.927687,4224.809628,1591.099308
255,10230,2921,1394,776.521701,4569.124968,1720.670607
256,10299,2941,1404,824.54463,4850.919891,1826.683488
257,10965,3131,1495,801.288243,4715.307972,1775.640249
258,11781,3365,1606,753.567345,4433.513049,1669.627368
259,11737,3352,1600,620.371674,3651.252759,1374.845112
260,11448,3270,1560,455.764779,2680.827156,1009.689633
261,11009,3144,1501,329.817852,1940.247144,730.612989
262,10255,2929,1398,248.269482,1460.319885,549.998451
263,9275,2649,1265,147.089097,865.922877,326.19348
264,8412,2402,1146,83.360556,490.196313,184.540941
265,7842,2239,1069,56.177766,330.723945,124.436772
266,7529,2150,1026,41.076216,242.530893,91.213362
267,7381,2108,1006,57.989952,341.597061,128.665206
268,7378,2107,1005,134.705826,793.435437,298.708659
269,7607,2172,1037,290.251791,1707.985305,643.32603
270,8322,2376,1135,466.335864,2743.951635,1033.248051
271,9608,2744,1310,576.87921,3393.922347,1278.195192
272,10497,2998,1431,661.145859,3889.857249,1464.85035
273,10744,3068,1464,696.785517,4099.164732,1543.680441
274,10919,3119,1489,666.582417,3923.080659,1477.233621
275,11073,3162,1509,662.958045,3901.032396,1469.078784
276,11112,3173,1515,687.422556,4044.19509,1522.840302
277,11068,3161,1509,730.310958,4297.599099,1618.282098
278,11019,3147,1502,758.399841,4462.810056,1680.802515
279,10873,3105,1482,820.316196,4826.45538,1817.622558
280,10847,3098,1479,870.755373,5123.955915,1929.676059
281,11364,3246,1550,846.592893,4980.793221,1875.61251
282,11951,3413,1630,795.851685,4683.292686,1763.559009
283,11830,3378,1613,655.40727,3856.93587,1452.467079
284,11479,3278,1565,481.437414,2832.144687,1066.471461
285,10997,3140,1499,348.241743,2049.582366,771.991236
286,10224,2920,1393,262.162908,1542.774348,581.107644
287,9251,2642,1261,155.545965,914.549868,344.31534
288,8405,2400,1146,87.891021,517.983165,195.112026
289,7811,2231,1065,86.380866,508.922235,191.789685
290,7513,2145,1024,61.010262,359.114859,135.309888
291,7371,2105,1004,59.198076,347.637681,131.081454
292,7344,2098,1001,82.756494,487.780065,183.634848
293,7542,2154,1028,153.733779,904.582845,340.690968
294,8217,2347,1120,252.497916,1485.388458,559.361412
295,9501,2713,1295,383.277339,2255.265477,849.311172
296,10340,2953,1409,520.701444,3062.896371,1153.456389
297,10503,3000,1432,659.937735,3883.212567,1462.434102
298,10548,3012,1438,730.91502,4300.317378,1619.490222
299,10562,3016,1440,754.473438,4440.157731,1672.043616
300,10516,3003,1434,789.207003,4643.122563,1748.457459
301,10420,2976,1421,838.438056,4933.978416,1858.094712
302,10378,2964,1415,875.285838,5149.62855,1939.341051
303,10339,2953,1409,918.17424,5402.730528,2034.480816
304,10489,2995,1430,942.034689,5542.570881,2087.336241
305,11141,3182,1519,895.219884,5266.816578,1983.437577
306,11795,3369,1608,809.745111,4763.934963,1794.06414
307,11688,3338,1594,672.925068,3958.720317,1490.825016
308,11389,3253,1553,523.117692,3077.997921,1159.194978
309,11010,3145,1501,399.284982,2348.593056,884.346768
310,10445,2983,1424,311.695992,1833.32817,690.442866
311,9687,2766,1321,217.46232,1280.007378,482.041476
312,8931,2550,1217,140.746446,827.866971,311.695992
313,8341,2382,1137,86.984928,512.244576,192.997809
314,7996,2284,1090,112.053501,659.031642,248.269482
315,7802,2229,1064,41.076216,241.322769,90.911331
316,7742,2211,1055,64.030572,376.934688,141.95457
317,7823,2234,1066,119.604276,704.034261,265.183218
318,8097,2313,1104,196.32015,1155.268575,434.92464
319,8611,2459,1174,299.916783,1764.465102,664.4682
320,9128,2607,1244,424.655586,2497.79637,940.826565
321,9713,2774,1324,554.830947,3264.95511,1229.568201
322,10173,2905,1387,714.001284,4201.553241,1582.340409
323,10367,2960,1414,815.785731,4799.574621,1807.353504
324,10302,2942,1404,836.62587,4923.709362,1854.168309
325,10138,2895,1383,833.001498,4901.057037,1845.711441
326,9948,2841,1356,807.932925,4754.269971,1790.439768
327,9858,2815,1344,790.717158,4652.787555,1752.081831
328,9938,2838,1355,756.285624,4449.822723,1675.667988
329,10586,3023,1444,719.739873,4235.380713,1595.025711
330,11470,3276,1564,645.138216,3795.321546,1429.210692
331,11467,3275,1564,554.830947,3264.95511,1229.568201
332,11210,3201,1529,443.683539,2610.755964,983.110905
333,10857,3101,1480,353.678301,2080.389528,783.468414
334,10427,2978,1422,274.84821,1617.980067,609.196527
335,9916,2832,1352,198.132336,1166.443722,439.455105
336,9321,2662,1271,135.007857,794.34153,299.01069
337,8761,2502,1195,48.929022,287.231481,108.127098
338,8426,2406,1149,36.847782,216.556227,81.54837
339,8290,2368,1130,52.855425,310.789899,117.188028
340,8274,2363,1128,120.8124,711.283005,267.901497
341,8367,2389,1140,248.873544,1464.85035,551.810637
342,8600,2456,1172,405.023571,2383.628652,897.636132
343,9002,2571,1227,507.110049,2984.06628,1123.857351
344,9436,2694,1287,581.107644,3419.897013,1287.860184
345,10049,2870,1370,611.310744,3596.585148,1354.307004
346,10510,3001,1433,647.252433,3808.61091,1434.345219
347,10762,3073,1467,767.460771,4515.061419,1700.43453
348,10846,3097,1479,817.295886,4809.541644,1811.279907
349,10837,3095,1478,841.458366,4950.892152,1864.437363
350,10727,3064,1463,825.450723,4856.65848,1828.797705
351,10661,3045,1454,817.295886,4809.541644,1811.279907
352,10747,3069,1465,783.468414,4609.295091,1735.772157
353,11443,3268,1560,743.298291,4373.710911,1646.975043
354,12353,3528,1684,657.219456,3867.204924,1456.393482
355,12368,3532,1686,547.280172,3219.65046,1212.352434
356,12024,3434,1640,417.104811,2454.303906,924.21486
357,11680,3336,1592,317.13255,1865.343456,702.524106
358,11098,3170,1513,221.086692,1300.243455,489.592251
359,10403,2971,1418,136.820043,805.516677,303.239124
360,9707,2772,1323,80.944308,475.698825,179.104383
361,9218,2633,1257,75.205719,443.079477,167.023143
362,8963,2559,1222,54.36558,320.15286,120.510369
363,8860,2530,1208,50.137146,295.386318,111.147408
364,8864,2532,1208,74.299626,437.038857,164.606895
365,9069,2590,1236,133.799733,787.998879,296.594442
366,9604,2743,1309,219.576537,1292.69268,486.873972
367,10488,2995,1430,331.630038,1951.422291,734.841423
368,11139,3181,1519,453.0465,2665.423575,1003.649013
369,11587,3309,1580,572.348745,3367.041588,1267.926138
370,11837,3381,1614,634.869162,3736.425501,1407.162429
371,11933,3408,1627,654.803208,3853.311498,1451.258955
372,11838,3381,1614,683.194122,4019.428548,1513.779372
373,11648,3326,1588,726.988617,4277.967084,1611.033354
374,11515,3289,1570,759.607965,4468.850676,1682.916732
375,11370,3247,1550,794.945592,4678.158159,1761.746823
376,11392,3254,1553,814.879638,4795.044156,1805.843349
377,11972,3419,1632,775.313577,4561.272162,1717.650297
378,12745,3640,1737,701.920044,4130.273925,1555.45965
379,12604,3600,1718,582.617799,3428.655912,1291.182525
380,12223,3491,1666,450.932283,2653.040304,999.118548
381,11668,3332,1590,344.31534,2025.117855,762.628275
382,10868,3104,1482,266.693373,1569.655107,591.074667
383,9911,2830,1351,187.25922,1101.809088,414.990594
384,9028,2579,1231,119.302245,701.618013,264.277125
385,8422,2405,1148,51.043239,299.614752,112.959594
386,8080,2308,1101,37.451844,219.878568,82.756494
387,7926,2264,1080,52.553394,309.581775,116.583966
388,7885,2252,1075,122.322555,719.437842,270.921807
389,8084,2309,1102,263.069001,1548.512937,583.221861
390,8771,2504,1196,422.8434,2487.829347,936.900162
391,10017,2861,1366,523.117692,3077.091828,1158.892947
392,10748,3070,1465,599.531535,3526.815987,1328.030307
393,10856,3101,1480,631.546821,3716.793486,1399.611654
394,10861,3101,1480,604.364031,3556.717056,1339.507485
395,10853,3100,1479,601.04169,3536.78301,1331.95671
396,10811,3087,1474,623.089953,3666.65634,1380.885732
397,10754,3071,1466,662.353983,3896.501931,1467.266598
398,10741,3068,1464,687.724587,4046.309307,1523.746395
399,10705,3057,1459,743.600322,4376.127159,1647.881136
400,10808,3086,1474,789.509034,4645.840842,1749.665583
401,11408,3258,1555,767.460771,4515.967512,1700.736561
402,11990,3424,1635,721.552059,4246.253829,1598.952114
403,11823,3376,1612,594.397008,3496.914918,1316.85516
404,11467,3275,1563,436.434795,2567.565531,967.103262
405,10936,3124,1491,315.924426,1858.396743,699.805827
406,10145,2897,1383,237.698397,1398.705561,526.742064
407,9158,2615,1248,141.048477,829.377126,312.300054
408,8270,2362,1127,79.736184,469.658205,176.688135
409,7673,2191,1046,53.157456,312.904116,117.79209
410,7368,2104,1004,38.961999,229.54356,86.380866
411,7210,2059,983,54.969642,323.475201,121.718493
412,7192,2054,980,127.759113,751.151097,282.701016
413,7428,2121,1013,274.84821,1617.073974,608.894496
414,8195,2340,1117,441.569322,2597.4666,978.278409
415,9601,2742,1309,546.072048,3213.005778,1209.936186
416,10337,2952,1409,625.808232,3682.361952,1386.624321
417,10414,2974,1419,659.635704,3880.494288,1461.528009
418,10477,2992,1428,631.24479,3713.773176,1398.40353
419,10558,3015,1439,627.620418,3692.933037,1390.550724
420,10563,3017,1440,650.574774,3828.544956,1441.895994
421,10514,3003,1434,691.348959,4068.35757,1532.203263
422,10502,3000,1432,717.927687,4224.809628,1591.099308
423,10452,2985,1425,776.521701,4569.124968,1720.670607
424,10540,3010,1437,824.54463,4850.919891,1826.683488
425,11167,3189,1523,801.288243,4715.307972,1775.640249
426,12222,3491,1666,753.567345,4433.513049,1669.627368
427,12311,3516,1679,620.371674,3651.252759,1374.845112
428,12097,3455,1649,455.764779,2680.827156,1009.689633
429,11681,3336,1592,329.817852,1940.247144,730.612989
430,10975,3135,1496,248.269482,1460.319885,549.998451
431,10076,2878,1373,147.089097,865.922877,326.19348
432,9249,2641,1261,83.360556,490.196313,184.540941
433,8734,2494,1191,56.177766,330.723945,124.436772
434,8488,2424,1157,41.076216,242.530893,91.213362
435,8386,2395,1143,57.989952,341.597061,128.665206
436,8405,2400,1146,134.705826,793.435437,298.708659
437,8672,2476,1182,290.251791,1707.985305,643.32603
438,9446,2698,1288,466.335864,2743.951635,1033.248051
439,10860,3101,1480,576.87921,3393.922347,1278.195192
440,11601,3313,1581,661.145859,3889.857249,1464.85035
441,11633,3322,1586,696.785517,4099.164732,1543.680441
442,11574,3306,1578,666.582417,3923.080659,1477.233621
443,11511,3287,1570,662.958045,3901.032396,1469.078784
444,11368,3246,1550,687.422556,4044.19509,1522.840302
445,11190,3196,1525,730.310958,4297.599099,1618.282098
446,11078,3164,1510,758.399841,4462.810056,1680.802515
447,10946,3126,1493,820.316196,4826.45538,1817.622558
448,11021,3148,1503,870.755373,5123.955915,1929.676059
449,11577,3306,1579,846.592893,4980.793221,1875.61251
450,12352,3528,1684,795.851685,4683.292686,1763.559009
451,12330,3521,1681,655.40727,3856.93587,1452.467079
452,12117,3461,1652,481.437414,2832.144687,1066.471461
453,11631,3322,1585,348.241743,2049.582366,771.991236
454,10865,3103,1481,262.162908,1542.774348,581.107644
455,9900,2827,1350,155.545965,914.549868,344.31534
456,9025,2578,1231,87.891021,517.983165,195.112026
457,8434,2409,1150,86.380866,508.922235,191.789685
458,8100,2314,1105,61.010262,359.114859,135.309888
459,7947,2269,1083,59.198076,347.637681,131.081454
460,7913,2260,1079,82.756494,487.780065,183.634848
461,8152,2329,1111,153.733779,904.582845,340.690968
462,8866,2532,1209,252.497916,1485.388458,559.361412
463,10188,2910,1389,383.277339,2255.265477,849.311172
464,10891,3111,1484,520.701444,3062.896371,1153.456389
465,10970,3133,1495,659.937735,3883.212567,1462.434102
466,11002,3142,1500,730.91502,4300.317378,1619.490222
467,11033,3151,1504,754.473438,4440.157731,1672.043616
468,10988,3138,1498,789.207003,4643.122563,1748.457459
469,10865,3103,1481,838.438056,4933.978416,1858.094712
470,10786,3081,1470,875.285838,5149.62855,1939.341051
471,10656,3043,1453,918.17424,5402.730528,2034.480816
472,10674,3049,1455,942.034689,5542.570881,2087.336241
473,11148,3184,1520,895.219884,5266.816578,1983.437577
474,12025,3435,1640,809.745111,4763.934963,1794.06414
475,11980,3421,1633,672.925068,3958.720317,1490.825016
476,11686,3337,1593,523.117692,3077.997921,1159.194978
477,11305,3229,1541,399.284982,2348.593056,884.346768
478,10761,3073,1467,311.695992,1833.32817,690.442866
479,10019,2861,1366,217.46232,1280.007378,482.041476
480,9243,2639,1260,140.746446,827.866971,311.695992
481,8690,2482,1185,86.984928,512.244576,192.997809
482,8380,2393,1142,112.053501,659.031642,248.269482
483,8190,2339,1116,41.076216,241.322769,90.911331
484,8116,2318,1106,64.030572,376.934688,141.95457
485,8185,2338,1116,119.604276,704.034261,265.183218
486,8450,2414,1152,196.32015,1155.268575,434.92464
487,8973,2563,1223,299.916783,1764.465102,664.4682
488,9596,2740,1308,424.655586,2497.79637,940.826565
489,10290,2939,1403,554.830947,3264.95511,1229.568201
490,10895,3111,1485,714.001284,4201.553241,1582.340409
491,11267,3218,1536,815.785731,4799.574621,1807.353504
492,11426,3263,1558,836.62587,4923.709362,1854.168309
493,11425,3263,1558,833.001498,4901.057037,1845.711441
494,11280,3221,1538,807.932925,4754.269971,1790.439768
495,11096,3169,1513,790.717158,4652.787555,1752.081831
496,11018,3146,1502,756.285624,4449.822723,1675.667988
497,11439,3266,1560,719.739873,4235.380713,1595.025711
498,12161,3473,1658,645.138216,3795.321546,1429.210692
499,12036,3437,1641,554.830947,3264.95511,1229.568201
500,11619,3318,1584,443.683539,2610.755964,983.110905
501,11190,3195,1525,353.678301,2080.389528,783.468414
502,10634,3037,1449,274.84821,1617.980067,609.196527
503,9951,2842,1357,198.132336,1166.443722,439.455105
504,9283,2651,1266,135.007857,794.34153,299.01069
505,8761,2502,1195,48.929022,287.231481,108.127098
506,8474,2420,1156,36.847782,216.556227,81.54837
507,8336,2380,1136,52.855425,310.789899,117.188028
508,8275,2364,1128,120.8124,711.283005,267.901497
509,8330,2379,1136,248.873544,1464.85035,551.810637
