Time_Index,natgas_CT,natgas_ME,natgas_MA
1,18.596171911475263,18.596171911475263,18.01610783350264
2,18.596171911475263,18.596171911475263,18.01610783350264
3,18.596171911475263,18.596171911475263,18.01610783350264
4,18.596171911475263,18.596171911475263,18.01610783350264
5,18.596171911475263,18.596171911475263,18.01610783350264
6,18.596171911475263,18.596171911475263,18.01610783350264
7,18.596171911475263,18.596171911475263,18.01610783350264
8,18.596171911475263,18.596171911475263,18.01610783350264
9,18.596171911475263,18.596171911475263,18.01610783350264
10,18.596171911475263,18.596171911475263,18.01610783350264
11,18.596171911475263,18.596171911475263,18.01610783350264
12,18.596171911475263,18.596171911475263,18.01610783350264
13,18.596171911475263,18.596171911475263,18.01610783350264
14,18.596171911475263,18.596171911475263,18.01610783350264
15,18.596171911475263,18.596171911475263,18.01610783350264
16,18.596171911475263,18.596171911475263,18.01610783350264
17,18.596171911475263,18.596171911475263,18.01610783350264
18,18.596171911475263,18.596171911475263,18.01610783350264
19,18.596171911475263,18.596171911475263,18.01610783350264
20,18.596171911475263,18.596171911475263,18.01610783350264
21,18.596171911475263,18.596171911475263,18.01610783350264
22,18.596171911475263,18.596171911475263,18.01610783350264
23,18.596171911475263,18.596171911475263,18.01610783350264
24,18.596171911475263,18.596171911475263,18.01610783350264
25,18.596171911475263,18.596171911475263,18.01610783350264
26,18.596171911475263,18.596171911475263,18.01610783350264
27,18.596171911475263,18.596171911475263,18.01610783350264
28,18.596171911475263,18.596171911475263,18.01610783350264
29,18.596171911475263,18.596171911475263,18.01610783350264
30,18.596171911475263,18.596171911475263,18.01610783350264
31,18.596171911475263,18.596171911475263,18.01610783350264
32,18.596171911475263,18.596171911475263,18.01610783350264
33,18.596171911475263,18.596171911475263,18.01610783350264
34,18.596171911475263,18.596171911475263,18.01610783350264
35,18.596171911475263,18.596171911475263,18.01610783350264
36,18.596171911475263,18.596171911475263,18.01610783350264
37,18.596171911475263,18.596171911475263,18.01610783350264
38,18.596171911475263,18.596171911475263,18.01610783350264
39,18.596171911475263,18.596171911475263,18.01610783350264
40,18.596171911475263,18.596171911475263,18.01610783350264
41,18.596171911475263,18.596171911475263,18.01610783350264
42,18.596171911475263,18.596171911475263,18.01610783350264
43,18.596171911475263,18.596171911475263,18.01610783350264
44,18.596171911475263,18.596171911475263,18.01610783350264
45,18.596171911475263,18.596171911475263,18.01610783350264
46,18.596171911475263,18.596171911475263,18.01610783350264
47,18.596171911475263,18.596171911475263,18.01610783350264
48,18.596171911475263,18.596171911475263,18.01610783350264
49,18.596171911475263,18.596171911475263,18.01610783350264
50,18.596171911475263,18.596171911475263,18.01610783350264
51,18.596171911475263,18.596171911475263,18.01610783350264
52,18.596171911475263,18.596171911475263,18.01610783350264
53,18.596171911475263,18.596171911475263,18.01610783350264
54,18.596171911475263,18.596171911475263,18.01610783350264
55,18.596171911475263,18.596171911475263,18.01610783350264
56,18.596171911475263,18.596171911475263,18.01610783350264
57,18.596171911475263,18.596171911475263,18.01610783350264
58,18.596171911475263,18.596171911475263,18.01610783350264
59,18.596171911475263,18.596171911475263,18.01610783350264
60,18.596171911475263,18.596171911475263,18.01610783350264
61,18.596171911475263,18.596171911475263,18.01610783350264
62,18.596171911475263,18.596171911475263,18.01610783350264
63,18.596171911475263,18.596171911475263,18.01610783350264
64,18.596171911475263,18.596171911475263,18.01610783350264
65,18.596171911475263,18.596171911475263,18.01610783350264
66,18.596171911475263,18.596171911475263,18.01610783350264
67,18.596171911475263,18.596171911475263,18.01610783350264
68,18.596171911475263,18.596171911475263,18.01610783350264
69,18.596171911475263,18.596171911475263,18.01610783350264
70,18.596171911475263,18.596171911475263,18.01610783350264
71,18.596171911475263,18.596171911475263,18.01610783350264
72,18.596171911475263,18.596171911475263,18.01610783350264
73,18.596171911475263,18.596171911475263,18.01610783350264
74,18.596171911475263,18.596171911475263,18.01610783350264
75,18.596171911475263,18.596171911475263,18.01610783350264
76,18.596171911475263,18.596171911475263,18.01610783350264
77,18.596171911475263,18.596171911475263,18.01610783350264
