cement_1_co2,cement_2_co2,dac_1_co2,dac_2_co2,dac_3_co2,ng_1_co2,ng_2_co2,ng_3_co2
0.13076477450798898,0.024524882881838923,2.540005531839498e-5,2.701534836331061e-5,2.701534836331061e-5,2.2434368370264504,0.2175644415417099,0.0028930125568072907
0.13075964649199529,0.024532044701847694,2.5413802023278748e-5,2.699450769647738e-5,2.699450769647738e-5,2.0097172285296625,0.217231478758056,0.0028752909029380012
0.1307656810453561,0.024526392872695996,2.5464733767083277e-5,2.7051065448971857e-5,2.7051065448971857e-5,1.7902095681484038,0.21683160502586674,0.0028721997949771264
0.13078357508838057,0.024507191711270308,2.5524543616278567e-5,2.715689804607614e-5,2.715689804607614e-5,1.6427229293813967,0.21658153421543969,0.0029422091391614795
0.13079785409843034,0.02449139562056716,2.5527346533122884e-5,2.717269153212914e-5,2.717269153212914e-5,1.5600259103538894,0.21642685086828886,0.0029320518952579804
0.13079955052681128,0.024489627506537114,2.553516244773077e-5,2.7401542092221048e-5,2.7401542092221048e-5,1.524682361273961,0.21652507245423097,0.002926063647179321
0.13079550923891511,0.024494098983898267,2.550341539390539e-5,2.8014510683073408e-5,2.8014510683073408e-5,1.515592090873547,0.2163769432306501,0.0029321988971931683
0.13077460510404731,0.024517675440595972,2.5463404194926776e-5,3.181876022232836e-5,3.181876022232836e-5,1.5590135319255085,0.21685081074590432,0.00295945812068892
0.1307881422740874,0.024501315431100828,2.5461900684252088e-5,2.8563489588620212e-5,2.8563489588620212e-5,1.7269628511791273,0.21673967432154773,0.00295992131712948
0.13078254739448877,0.02450675439023805,2.546928633909212e-5,2.9160579037202533e-5,2.9160579037202533e-5,2.054903541924049,0.2179946134303842,0.002979668874117129
0.13071464494195276,0.024578535150876085,2.5906851814553554e-5,3.179191271648841e-5,3.179191271648841e-5,2.258503536252297,0.2184698379456992,0.002923197318667702
0.13120651735887673,0.024095528014145513,2.60384855146241e-5,3.235524895269907e-5,3.235524895269907e-5,2.321418364670242,0.21837941750541515,0.002945982030437042
0.13119760562024604,0.02410745630056965,2.631582330585886e-5,2.8087548447677346e-5,2.8087548447677346e-5,2.354173360068048,0.21804213301547057,0.0029616039903387088
0.13116563828404604,0.024139833316601664,2.630371452951662e-5,2.727213799096171e-5,2.727213799096171e-5,2.383272726665529,0.21805321306651343,0.002968693826742629
0.13116336575595997,0.024142215112570423,2.6270797246330935e-5,2.7241483122390704e-5,2.7241483122390704e-5,2.387552447192025,0.21811798996407128,0.002969559598402169
0.13115968639739664,0.024146422235200637,2.6163157386376823e-5,2.712712723742224e-5,2.712712723742224e-5,2.3680187279421894,0.21891954898727686,0.002974541713172689
0.13115830578146778,0.024148106405651328,2.6138472915282892e-5,2.691117088709042e-5,2.691117088709042e-5,2.357592912239659,0.21884891336121515,0.0029768308343214728
0.13117716976412797,0.024129969860306216,2.619584630131186e-5,2.7332583739659443e-5,2.7332583739659443e-5,2.326816214995745,0.21822663634766037,0.0029911391586587887
0.13116108288896372,0.024145402730152702,2.6045148360700426e-5,2.736234286680853e-5,2.736234286680853e-5,2.3015815981852494,0.2180376319118571,0.003084310889902212
0.13112686436756762,0.024182702366602447,2.6117371669624843e-5,2.7498694120166157e-5,2.7498694120166157e-5,2.29392350406642,0.21898550923634824,0.0029995274089979836
0.1306825062219497,0.024613385349413305,2.5840872058828693e-5,3.058009757559861e-5,3.058009757559861e-5,2.30227990823254,0.21888175062337026,0.0029734604565624903
0.13125301303590295,0.024041383660516703,2.5437600007795473e-5,2.7198433947520386e-5,2.7198433947520386e-5,2.3246242324272006,0.2190729151888035,0.0029739962545259338
0.13132927970694147,0.02395909454870795,2.540112813365013e-5,2.7036772908921025e-5,2.7036772908921025e-5,2.3880927195690074,0.21810434516379767,0.0029750074480124297
0.13126729690412214,0.024024853752724756,2.5362450998806082e-5,2.702880370134249e-5,2.702880370134249e-5,2.317767475308045,0.2179629727862721,0.0029711134920881945
0.13128432915398225,0.024011870107632064,2.5522338739514666e-5,2.701629225483735e-5,2.701629225483735e-5,2.1866867552901548,0.217515737221293,0.002990025062754351
0.1312834201760383,0.024014131009229438,2.558602075626844e-5,2.7065860207921786e-5,2.7065860207921786e-5,1.9996269790343413,0.217026065062583,0.002993999875945974
0.13128884780197775,0.024009284561160426,2.568030598568671e-5,2.717236536763059e-5,2.717236536763059e-5,1.797692765108652,0.21660189320610013,0.0029946317192801157
0.13129106629209894,0.024007514372358908,2.576023565792165e-5,2.734396297786898e-5,2.734396297786898e-5,1.6416981688132612,0.21641588198876147,0.0029935653251752918
0.13129523419196068,0.024003140985882833,2.5822372220387394e-5,2.7714883099094145e-5,2.7714883099094145e-5,1.546589042974478,0.21597019683721974,0.00298834458849682
0.1312920937750187,0.024006713418476922,2.5852574158349553e-5,2.796454377281383e-5,2.796454377281383e-5,1.4971930279901933,0.21578742171512091,0.0029834532659494487
0.1312816940348802,0.024018259866943413,2.5903515342213374e-5,2.7748025236955005e-5,2.7748025236955005e-5,1.4738107341281985,0.21582667531043734,0.0029800455109612314
0.13125604537304894,0.024046102039108123,2.601846053208752e-5,2.774894255000222e-5,2.774894255000222e-5,1.4847512366501359,0.21591333536833884,0.002975745719157743
0.13123876463454626,0.02406094634473021,2.5603471925326565e-5,2.8156273666949656e-5,2.8156273666949656e-5,1.5443260711297093,0.2161238163943229,0.002946246417171305
0.1312440329617996,0.024055403310714388,2.5519329428115423e-5,2.9460310049510337e-5,2.9460310049510337e-5,1.6633756670662903,0.2172418733540736,0.002940300453326801
0.13070155443193257,0.024594224087927535,2.5813049800383572e-5,3.1347539132507765e-5,3.1347539132507765e-5,1.8014276776066813,0.21749866621129993,0.0029330537691316543
0.1312322818407813,0.02406809027642298,2.5957855056211042e-5,2.7801204550195155e-5,2.7801204550195155e-5,1.972192324504164,0.21724215631715985,0.003008375650088787
0.13123511032801166,0.024064678889688836,2.6241331623764028e-5,2.7123599206908017e-5,2.7123599206908017e-5,2.086802474298265,0.21756869691976033,0.003025030572547399
0.1306989622756467,0.024597595665166973,2.6058796194457614e-5,2.711013016340151e-5,2.711013016340151e-5,2.1386092885187824,0.218663228176303,0.003060573976325753
0.13075751637643776,0.024534264332934527,2.6122657598834772e-5,2.6812692469914983e-5,2.6812692469914983e-5,2.1325322168536887,0.21791219811771875,0.003056206046318739
