asset,type,capacity,additions,retirements
cement_MA,Macro.CementPlant{NaturalGas},267.832758431118,267.832758431118,0.0
cement_ME,Macro.CementPlant{NaturalGas},96.62969445427315,96.62969445427315,0.0
sorbent_dac_MA,ElectricDAC,0.07016307089950757,0.07016307089950757,0.0
sorbent_dac_CT,ElectricDAC,0.07120149029039072,0.07120149029039072,0.0
sorbent_dac_ME,ElectricDAC,0.0695307335502863,0.0695307335502863,0.0
cement_MA,Macro.ElectrochemCementPlant{CementMaterials},130.50646031501515,130.50646031501515,0.0
cement_ME,Macro.ElectrochemCementPlant{CementMaterials},141.5408996872743,141.5408996872743,0.0
MA_to_CT,PowerLine,2950.2286354175544,0.22863541755401506,0.0
MA_to_ME,PowerLine,2000.0178214587586,0.0178214587586021,0.0
storage_MA,Battery,8.880475775637796,8.880475775637796,0.0
storage_CT,Battery,10.176716184463581,10.17671618446358,0.0
storage_ME,Battery,8.865599352280785,8.865599352280785,0.0
ng_MA,ThermalPower{NaturalGas},15647.36287579783,62.58945150319132,0.0
ng_CT,ThermalPower{NaturalGas},7675.742628478474,30.702970513913897,0.0
ng_ME,ThermalPower{NaturalGas},254.69332673867257,1.0187733069546903,0.0
solar_pv_MA,VRE,0.3283229293894611,0.32832292938946106,0.0
solar_pv_CT,VRE,0.3394144955496389,0.3394144955496389,0.0
onshore_wind_CT,VRE,0.5537414905543315,0.5537414905543315,0.0
onshore_wind_ME,VRE,0.3202350178166425,0.32023501781664243,0.0
