asset,type,capacity,additions,retirements
cement_MA,Macro.CementPlant{NaturalGas},185.0446126314333,185.0446126314333,0.0
cement_CT,Macro.CementPlant{NaturalGas},233.3295178600665,233.32951786006646,0.0
cement_ME,Macro.CementPlant{NaturalGas},179.8840158653577,179.8840158653577,0.0
sorbent_dac_MA,ElectricDAC,0.059872286103115804,0.059872286103115804,0.0
sorbent_dac_CT,ElectricDAC,0.06134942153252354,0.06134942153252354,0.0
sorbent_dac_ME,ElectricDAC,0.06124901932329559,0.06124901932329559,0.0
cement_MA,Macro.ElectrochemCementPlant{CementMaterials},74.69766026772011,74.69766026772011,0.0
cement_CT,Macro.ElectrochemCementPlant{CementMaterials},86.41919580133863,86.41919580133862,0.0
cement_ME,Macro.ElectrochemCementPlant{CementMaterials},87.85044509479131,87.85044509479131,0.0
MA_to_CT,PowerLine,2950.052956689848,0.052956689847953556,0.0
MA_to_ME,PowerLine,2001.1502883360656,1.1502883360657876,0.0
storage_MA,Battery,9.0517573881857,9.0517573881857,0.0
storage_CT,Battery,8.481458987003686,8.481458987003686,0.0
storage_ME,Battery,8.132752704639401,8.132752704639401,0.0
ng_MA,ThermalPower{NaturalGas},15620.111573640374,62.480446294561496,0.0
ng_CT,ThermalPower{NaturalGas},7704.646168632998,30.81858467453199,0.0
ng_ME,ThermalPower{NaturalGas},253.15853564302964,1.0126341425721186,0.0
solar_pv_MA,VRE,0.29298657061677036,0.29298657061677036,0.0
solar_pv_CT,VRE,0.28654071399762837,0.28654071399762837,0.0
onshore_wind_CT,VRE,0.4501424776077074,0.4501424776077074,0.0
onshore_wind_ME,VRE,0.32309215257095014,0.32309215257095014,0.0
