Time_Index,Demand_MW_z1,Demand_MW_z2,Demand_MW_z3,Demand_H2_z1,Demand_H2_z2,Demand_H2_z3,Demand_Zero
112,128819,104340,41342,31937.18,30440.74,15988.28,0
113,129898,107071,43618,31937.18,30440.74,15988.28,0
114,137862,115195,46656,31937.18,30440.74,15988.28,0
115,151104,118937,46558,31937.18,30440.74,15988.28,0
116,153842,118385,45326,31937.18,30440.74,15988.28,0
117,153444,116311,43447,31937.18,30440.74,15988.28,0
118,149867,112147,40837,31937.18,30440.74,15988.28,0
119,143118,105847,37438,31937.18,30440.74,15988.28,0
120,135583,98697,34236,31937.18,30440.74,15988.28,0
121,130406,93739,32017,31937.18,30440.74,15988.28,0
122,128328,91112,30696,31937.18,30440.74,15988.28,0
123,128517,89760,30019,31937.18,30440.74,15988.28,0
124,130129,89495,29771,31937.18,30440.74,15988.28,0
125,134603,91305,30322,31937.18,30440.74,15988.28,0
126,144249,96555,32505,31937.18,30440.74,15988.28,0
127,160790,106168,36847,31937.18,30440.74,15988.28,0
128,170327,112052,39694,31937.18,30440.74,15988.28,0
129,165797,110991,40153,31937.18,30440.74,15988.28,0
130,156023,108281,40301,31937.18,30440.74,15988.28,0
131,146273,105784,40271,31937.18,30440.74,15988.28,0
132,138551,103196,39930,31937.18,30440.74,15988.28,0
133,132827,100775,39482,31937.18,30440.74,15988.28,0
134,129017,99113,39165,31937.18,30440.74,15988.28,0
135,125620,97310,38726,31937.18,30440.74,15988.28,0
136,123198,95980,38906,31937.18,30440.74,15988.28,0
137,123115,97125,40838,31937.18,30440.74,15988.28,0
138,128605,103913,43477,31937.18,30440.74,15988.28,0
139,138475,106539,43127,31937.18,30440.74,15988.28,0
140,137629,104885,41675,31937.18,30440.74,15988.28,0
141,135331,102694,39872,31937.18,30440.74,15988.28,0
142,132067,99675,37884,31937.18,30440.74,15988.28,0
143,127095,94951,35181,31937.18,30440.74,15988.28,0
144,119980,89207,32327,31937.18,30440.74,15988.28,0
145,114161,84632,30071,31937.18,30440.74,15988.28,0
146,110388,81448,28660,31937.18,30440.74,15988.28,0
147,108471,79764,27830,31937.18,30440.74,15988.28,0
148,107781,79220,27457,31937.18,30440.74,15988.28,0
149,108842,79838,27594,31937.18,30440.74,15988.28,0
150,111939,82169,28467,31937.18,30440.74,15988.28,0
151,117165,85984,30095,31937.18,30440.74,15988.28,0
152,122809,90203,31811,31937.18,30440.74,15988.28,0
153,127409,92906,33689,31937.18,30440.74,15988.28,0
154,129304,93900,35036,31937.18,30440.74,15988.28,0
155,128053,93531,35604,31937.18,30440.74,15988.28,0
156,125617,92321,35551,31937.18,30440.74,15988.28,0
157,122980,90463,35157,31937.18,30440.74,15988.28,0
158,120091,88612,34625,31937.18,30440.74,15988.28,0
159,117791,87019,34219,31937.18,30440.74,15988.28,0
160,116745,86336,34499,31937.18,30440.74,15988.28,0
161,116919,88125,36601,31937.18,30440.74,15988.28,0
162,121744,95431,39571,31937.18,30440.74,15988.28,0
163,130550,98837,39583,31937.18,30440.74,15988.28,0
164,129160,97623,38343,31937.18,30440.74,15988.28,0
165,125976,96035,36894,31937.18,30440.74,15988.28,0
166,121936,93382,35299,31937.18,30440.74,15988.28,0
167,116797,89903,33229,31937.18,30440.74,15988.28,0
168,110170,85388,30931,31937.18,30440.74,15988.28,0
169,104337,81372,28957,31937.18,30440.74,15988.28,0
170,100884,79103,27715,31937.18,30440.74,15988.28,0
171,99237,77863,26910,31937.18,30440.74,15988.28,0
172,98973,77691,26590,31937.18,30440.74,15988.28,0
173,100058,78297,26655,31937.18,30440.74,15988.28,0
174,102709,80288,27280,31937.18,30440.74,15988.28,0
175,107571,83440,28539,31937.18,30440.74,15988.28,0
176,113698,87076,29878,31937.18,30440.74,15988.28,0
177,120356,90261,31686,31937.18,30440.74,15988.28,0
178,123336,91749,33384,31937.18,30440.74,15988.28,0
179,122726,91375,34483,31937.18,30440.74,15988.28,0
180,120597,90398,35050,31937.18,30440.74,15988.28,0
181,120152,89981,35409,31937.18,30440.74,15988.28,0
182,119939,89411,35476,31937.18,30440.74,15988.28,0
183,119102,88426,35432,31937.18,30440.74,15988.28,0
184,118320,88770,35814,31937.18,30440.74,15988.28,0
185,119957,92178,38216,31937.18,30440.74,15988.28,0
186,125497,100640,41526,31937.18,30440.74,15988.28,0
187,134113,104566,41672,31937.18,30440.74,15988.28,0
188,133330,104541,40969,31937.18,30440.74,15988.28,0
189,130945,104017,39763,31937.18,30440.74,15988.28,0
190,125919,101074,37699,31937.18,30440.74,15988.28,0
191,117802,95983,34915,31937.18,30440.74,15988.28,0
192,109380,90850,32274,31937.18,30440.74,15988.28,0
193,102513,87108,30437,31937.18,30440.74,15988.28,0
194,98931,85252,29358,31937.18,30440.74,15988.28,0
195,97609,84654,28836,31937.18,30440.74,15988.28,0
196,97730,84930,28826,31937.18,30440.74,15988.28,0
197,100439,87495,29522,31937.18,30440.74,15988.28,0
198,108464,93901,31985,31937.18,30440.74,15988.28,0
199,123706,104802,36719,31937.18,30440.74,15988.28,0
200,133848,111775,39762,31937.18,30440.74,15988.28,0
201,133399,112051,40268,31937.18,30440.74,15988.28,0
202,133395,111131,40554,31937.18,30440.74,15988.28,0
203,134354,110551,40714,31937.18,30440.74,15988.28,0
204,134774,109436,40463,31937.18,30440.74,15988.28,0
205,134291,108111,40011,31937.18,30440.74,15988.28,0
206,133713,107107,39724,31937.18,30440.74,15988.28,0
207,132567,106167,39291,31937.18,30440.74,15988.28,0
208,131956,106221,39473,31937.18,30440.74,15988.28,0
209,132995,108716,41620,31937.18,30440.74,15988.28,0
210,138097,115422,45082,31937.18,30440.74,15988.28,0
211,146456,117749,44957,31937.18,30440.74,15988.28,0
212,146070,116825,43999,31937.18,30440.74,15988.28,0
213,141362,114497,42385,31937.18,30440.74,15988.28,0
214,133704,109787,39690,31937.18,30440.74,15988.28,0
215,125226,102902,36254,31937.18,30440.74,15988.28,0
216,115747,95854,33025,31937.18,30440.74,15988.28,0
217,108540,90765,30795,31937.18,30440.74,15988.28,0
218,103975,88202,29492,31937.18,30440.74,15988.28,0
219,101821,86940,28857,31937.18,30440.74,15988.28,0
220,101451,87208,28705,31937.18,30440.74,15988.28,0
221,103679,89415,29373,31937.18,30440.74,15988.28,0
222,111031,95690,31723,31937.18,30440.74,15988.28,0
223,125520,106524,36423,31937.18,30440.74,15988.28,0
224,134747,113281,39301,31937.18,30440.74,15988.28,0
225,134281,112585,39872,31937.18,30440.74,15988.28,0
226,133752,109978,40217,31937.18,30440.74,15988.28,0
227,133895,107421,40258,31937.18,30440.74,15988.28,0
228,133092,105040,40033,31937.18,30440.74,15988.28,0
229,132397,102761,39635,31937.18,30440.74,15988.28,0
230,131641,101424,39459,31937.18,30440.74,15988.28,0
231,131192,99884,39219,31937.18,30440.74,15988.28,0
232,130497,99332,39638,31937.18,30440.74,15988.28,0
233,131896,101642,41833,31937.18,30440.74,15988.28,0
234,138146,109136,44687,31937.18,30440.74,15988.28,0
235,146175,113187,44536,31937.18,30440.74,15988.28,0
236,145603,112802,43242,31937.18,30440.74,15988.28,0
237,141645,111037,41382,31937.18,30440.74,15988.28,0
238,135308,107565,38872,31937.18,30440.74,15988.28,0
239,125074,101236,35535,31937.18,30440.74,15988.28,0
240,115120,94989,32454,31937.18,30440.74,15988.28,0
241,107832,90685,30392,31937.18,30440.74,15988.28,0
242,103079,88602,29295,31937.18,30440.74,15988.28,0
243,100599,87722,28749,31937.18,30440.74,15988.28,0
244,99653,88095,28728,31937.18,30440.74,15988.28,0
245,100794,90308,29439,31937.18,30440.74,15988.28,0
246,107544,96297,31918,31937.18,30440.74,15988.28,0
247,121302,106752,36694,31937.18,30440.74,15988.28,0
248,131062,113056,39513,31937.18,30440.74,15988.28,0
249,131480,112041,39914,31937.18,30440.74,15988.28,0
250,132060,110299,39942,31937.18,30440.74,15988.28,0
251,133492,108953,39850,31937.18,30440.74,15988.28,0
252,134224,107674,39509,31937.18,30440.74,15988.28,0
253,133883,106462,39106,31937.18,30440.74,15988.28,0
254,133105,105963,38966,31937.18,30440.74,15988.28,0
255,131961,105306,38769,31937.18,30440.74,15988.28,0
256,131496,105454,39069,31937.18,30440.74,15988.28,0
257,133305,108248,41312,31937.18,30440.74,15988.28,0
258,138633,113648,44463,31937.18,30440.74,15988.28,0
259,146916,114938,44447,31937.18,30440.74,15988.28,0
260,145775,112973,43175,31937.18,30440.74,15988.28,0
261,142120,110191,41338,31937.18,30440.74,15988.28,0
262,136579,105322,38683,31937.18,30440.74,15988.28,0
263,127725,98195,35295,31937.18,30440.74,15988.28,0
264,118073,91053,32172,31937.18,30440.74,15988.28,0
265,110866,85866,30093,31937.18,30440.74,15988.28,0
266,107171,82669,28913,31937.18,30440.74,15988.28,0
267,105512,80987,28290,31937.18,30440.74,15988.28,0
268,105566,80609,28170,31937.18,30440.74,15988.28,0
269,107933,82191,28797,31937.18,30440.74,15988.28,0
270,115887,87638,31086,31937.18,30440.74,15988.28,0
271,131079,98037,35496,31937.18,30440.74,15988.28,0
272,140772,104867,38809,31937.18,30440.74,15988.28,0
273,139748,105289,40032,31937.18,30440.74,15988.28,0
274,138360,104749,40703,31937.18,30440.74,15988.28,0
