BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3
t18,0.0,325.0,-0.0,0.0,0.0,0.0,0.0,9900.0,-0.0,-10225.0,2116.493572224959,6703.506427775041,-0.0,0.0,0.0,0.0,0.0,-5900.0,-0.0,-2920.0,5394.0,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-0.0,-1394.0
t19,0.0,265.0,-0.0,0.0,0.0,0.0,0.0,9900.0,-0.0,-10165.0,2450.29393501101,6352.70606498899,-0.0,0.0,0.0,0.0,0.0,-5900.0,-0.0,-2903.0,5386.0,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-0.0,-1386.0
t20,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,9854.0,-0.0,-9854.0,2286.8768855645726,6382.123114435428,-0.0,0.0,0.0,0.0,0.0,-5854.0,-0.0,-2815.0,5343.0,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-0.0,-1343.0
t21,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,9490.0,-0.0,-9490.0,2232.522056851032,5967.477943148968,-0.0,0.0,0.0,0.0,0.0,-5490.0,-0.0,-2710.0,5294.0,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-0.0,-1294.0
t22,0.0,5128.321256220529,-0.0,0.0,0.0,0.0,0.0,3853.678743779471,-0.0,-8982.0,2418.678743779471,0.0,-0.0,0.0,0.0,0.0,0.0,146.321256220529,-0.0,-2565.0,5225.0,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-0.0,-1225.0
t23,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,8353.0,-0.0,-8353.0,2517.6131533042153,4220.386846695785,-0.0,0.0,0.0,0.0,0.0,-4353.0,-0.0,-2385.0,5139.0,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-0.0,-1139.0
t24,0.0,3902.308588454178,-0.0,0.0,0.0,0.0,0.0,3745.691411545822,-0.0,-7648.0,1929.6914115458221,0.0,-0.0,0.0,0.0,0.0,0.0,254.30858845417788,-0.0,-2184.0,5042.0,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-0.0,-1042.0
t25,0.0,3943.9156807237896,-0.0,0.0,0.0,0.0,0.0,3107.0843192762104,-0.0,-7051.0,1120.0843192762104,0.0,-0.0,0.0,0.0,0.0,0.0,892.9156807237896,-0.0,-2013.0,4961.0,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-0.0,-961.0
t26,0.0,3296.5398921635124,-0.0,0.0,0.0,0.0,0.0,3392.4601078364876,-0.0,-6689.0,1302.4601078364876,0.0,-0.0,0.0,0.0,0.0,0.0,607.5398921635124,-0.0,-1910.0,4912.0,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-0.0,-912.0
t27,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,6515.0,-0.0,-6515.0,2122.705213460731,2253.294786539269,-0.0,0.0,0.0,0.0,0.0,-2515.0,-0.0,-1861.0,4888.0,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-0.0,-888.0
t28,0.0,2095.5596351881313,-0.0,0.0,0.0,0.0,0.0,4380.440364811869,-0.0,-6476.0,2229.4403648118687,0.0,-0.0,0.0,0.0,0.0,0.0,-380.4403648118687,-0.0,-1849.0,4883.0,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-0.0,-883.0
t29,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,6618.0,-0.0,-6618.0,1644.015735677608,2863.984264322392,-0.0,0.0,0.0,0.0,0.0,-2618.0,-0.0,-1890.0,4902.0,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-0.0,-902.0
t30,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,6980.0,-0.0,-6980.0,1771.2468486077896,3201.7531513922104,-0.0,0.0,0.0,0.0,0.0,-2980.0,-0.0,-1993.0,4951.0,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-0.0,-951.0
t31,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,7523.0,-0.0,-7523.0,1928.3959895625746,3742.604010437425,-0.0,0.0,0.0,0.0,0.0,-3523.0,-0.0,-2148.0,5025.0,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-0.0,-1025.0
t32,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,7968.0,-0.0,-7968.0,717.6742484893657,5525.325751510634,-0.0,0.0,0.0,0.0,0.0,-3968.0,-0.0,-2275.0,5086.0,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-0.0,-1086.0
t33,5823.123948972976,0.0,-0.0,0.0,0.0,0.0,0.0,2689.876051027024,-0.0,-8513.0,6281.876051027024,0.0,-0.0,0.0,0.0,0.0,0.0,-3850.876051027024,-0.0,-2431.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,1161.0,-0.0,-1161.0
t34,12439.64853599352,0.0,-0.0,0.0,0.0,0.0,0.0,-3367.6485359935195,-0.0,-9072.0,459.35146400648046,0.0,-0.0,0.0,0.0,0.0,0.0,2131.6485359935195,-0.0,-2591.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,1236.0,-0.0,-1236.0
t35,18022.56862207136,0.0,-8043.0391631697385,0.0,0.0,0.0,0.0,-497.529458901623,-0.0,-9482.0,32488.368045033996,0.0,-26277.89750393562,0.0,0.0,0.0,0.0,-3502.470541098377,-0.0,-2708.0,0.0,0.0,-2708.0,0.0,0.0,0.0,0.0,4000.0,-0.0,-1292.0
t36,20577.464254683255,0.0,-3711.4642546832547,0.0,0.0,0.0,0.0,-7216.0,-0.0,-9650.0,23132.89750393562,0.0,-26277.89750393562,0.0,0.0,0.0,0.0,5900.0,-0.0,-2755.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,1316.0,-0.0,-1316.0
t37,20792.191950301632,0.0,-7093.1919503016325,0.0,0.0,0.0,0.0,-4064.0,-0.0,-9635.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,2751.0,-0.0,-2751.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,1313.0,-0.0,-1313.0
t38,19703.995662337307,0.0,-8043.0391631697385,0.0,0.0,0.0,0.0,-2088.956499167569,-0.0,-9572.0,1950.0435008324312,0.0,-0.0,0.0,0.0,0.0,0.0,783.9564991675688,-0.0,-2734.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,1305.0,-0.0,-1305.0
t39,17021.719193341632,0.0,-278.7191933416325,0.0,0.0,0.0,0.0,-7201.0,-0.0,-9542.0,0.0,0.0,-3175.0,0.0,0.0,0.0,0.0,5900.0,-0.0,-2725.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,1301.0,-0.0,-1301.0
t40,11620.771730669194,0.0,-6512.771730669194,0.0,0.0,0.0,0.0,4579.0,-0.0,-9687.0,23053.30709272797,0.0,-14387.30709272797,0.0,0.0,0.0,0.0,-5900.0,-0.0,-2766.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,1321.0,-0.0,-1321.0
