Time_Index,Demand_MW_z1,Demand_MW_z2,Demand_MW_z3,Demand_H2_z1,Demand_H2_z2,Demand_H2_z3
118,10788,3081,1471,289.3044,1702.4964,641.2692
119,9795,2797,1335,171.6495,1009.2324,379.962
120,8937,2553,1218,96.9903,571.6095,215.3118
121,8376,2392,1141,95.3238,561.6105,211.6455
122,8071,2305,1100,67.3266,396.2937,149.3184
123,7915,2260,1079,65.3268,383.6283,144.6522
124,7876,2249,1074,91.3242,538.2795,202.6464
125,8068,2304,1100,169.6497,998.2335,375.9624
126,8750,2499,1193,278.6388,1639.1694,617.2716
127,10032,2865,1368,422.9577,2488.7511,937.2396
128,10800,3085,1473,574.6092,3379.9953,1272.8727
129,10890,3110,1484,728.2605,4285.2381,1613.8386
130,10901,3113,1486,806.586,4745.5254,1787.1546
131,10853,3100,1479,832.5834,4899.8433,1845.1488
132,10692,3053,1458,870.9129,5123.8209,1929.4737
133,10515,3003,1434,925.2408,5444.7888,2050.4616
134,10423,2976,1421,965.9034,5682.765,2140.1193
135,10278,2935,1401,1013.232,5962.0704,2245.1088
136,10327,2950,1408,1039.5627,6116.3883,2303.4363
137,10930,3121,1490,987.9012,5812.0854,2188.7811
138,11507,3286,1569,893.5773,5257.1409,1979.802
139,11322,3234,1544,742.5924,4368.5631,1645.1688
140,10996,3140,1499,577.2756,3396.6603,1279.2054
141,10561,3016,1440,440.6226,2591.7408,975.9024
142,9994,2855,1363,343.9656,2023.131,761.9238
143,9224,2635,1257,239.976,1412.5254,531.9468
144,8432,2408,1150,155.3178,913.5753,343.9656
145,7819,2234,1066,95.9904,565.2768,212.9787
146,7480,2136,1020,123.6543,727.2606,273.9726
147,7296,2083,994,45.3288,266.3067,100.3233
148,7221,2063,984,70.6596,415.9584,156.651
149,7293,2083,994,131.9868,776.9223,292.6374
150,7571,2162,1032,216.645,1274.8725,479.952
151,8073,2305,1100,330.9669,1947.1386,733.26
152,8602,2456,1172,468.6198,2756.391,1038.2295
153,9143,2611,1247,612.2721,3602.973,1356.8643
154,9471,2704,1291,787.9212,4636.5363,1746.1587
155,9563,2731,1303,900.2433,5296.4703,1994.4672
156,9486,2709,1293,923.241,5433.4566,2046.1287
157,9312,2659,1269,919.2414,5408.4591,2036.7963
158,9115,2603,1242,891.5775,5246.4753,1975.8024
159,8976,2564,1224,872.5794,5134.4865,1933.4733
160,9072,2591,1236,834.5832,4910.5089,1849.1484
161,9736,2780,1328,794.2539,4673.8659,1760.1573
162,10403,2970,1418,711.9288,4188.2478,1577.1756
163,10280,2936,1402,612.2721,3602.973,1356.8643
164,9950,2842,1357,489.6177,2881.0452,1084.8915
165,9638,2752,1314,390.2943,2295.7704,864.5802
166,9187,2624,1252,303.303,1785.4881,672.2661
167,8597,2455,1172,218.6448,1287.2046,484.9515
168,7948,2270,1084,148.9851,876.579,329.967
169,7404,2114,1010,53.9946,316.9683,119.3214
170,7089,2024,966,40.6626,238.9761,89.991
171,6902,1971,941,58.3275,342.9657,129.3204
172,6852,1957,934,133.32,784.9215,295.6371
173,6904,1972,941,274.6392,1616.505,608.9391
174,7105,2029,969,446.9553,2630.4036,990.5676
175,7494,2140,1021,559.6107,3293.004,1240.2093
176,7901,2256,1077,641.2692,3773.9559,1421.1912
177,8468,2418,1154,674.5992,3968.9364,1494.5172
178,8906,2544,1214,714.2619,4202.913,1582.8417
179,9183,2623,1252,846.9153,4982.5017,1876.479
180,9356,2672,1276,901.9098,5307.4692,1998.8001
181,9386,2680,1280,928.5738,5463.4536,2057.4609
182,9334,2665,1272,910.9089,5359.464,2018.1315
183,9301,2656,1268,901.9098,5307.4692,1998.8001
184,9431,2694,1286,864.5802,5086.4913,1915.4751
185,10240,2925,1396,820.2513,4826.5173,1817.4849
186,11081,3165,1511,725.2608,4267.5732,1607.1726
187,11064,3160,1509,603.9396,3552.978,1337.8662
188,10779,3078,1469,460.2873,2708.3958,1019.898
189,10405,2971,1418,349.965,2058.4608,775.2558
190,9791,2796,1335,243.9756,1434.8565,540.2793
191,8983,2565,1225,150.9849,888.9111,334.6332
192,8276,2364,1128,89.3244,524.9475,197.6469
193,7813,2231,1065,82.9917,488.9511,184.3149
194,7590,2168,1035,59.994,353.298,132.9867
195,7507,2144,1024,55.3278,325.9674,122.6544
196,7536,2152,1027,81.9918,482.2851,181.6485
197,7808,2230,1065,147.6519,869.5797,327.3006
198,8592,2454,1171,242.3091,1426.524,537.2796
199,10003,2857,1363,365.9634,2153.4513,810.9189
200,10818,3090,1475,499.95,2941.3725,1107.5559
201,10898,3112,1486,631.6035,3715.6284,1399.1934
202,10909,3115,1487,700.5966,4123.2543,1552.8447
203,10903,3114,1487,722.5944,4252.2414,1601.5065
204,10810,3087,1474,753.9246,4435.5564,1670.4996
205,10627,3035,1449,802.2531,4720.8612,1777.8222
206,10513,3002,1434,838.2495,4931.5068,1857.1476
207,10366,2960,1414,877.2456,5162.4837,1944.1389
208,10401,2970,1418,899.2434,5291.4708,1992.8007
209,11101,3170,1514,855.5811,5033.4966,1895.4771
210,12044,3440,1642,774.5892,4557.8775,1716.495
211,12015,3431,1638,642.9357,3783.6216,1424.8575
212,11693,3339,1594,497.6169,2927.7072,1102.5564
213,11225,3205,1530,379.962,2234.7765,841.5825
214,10453,2985,1425,294.3039,1732.1601,652.2681
215,9470,2704,1291,206.646,1215.8784,457.9542
216,8600,2456,1172,131.6535,774.2559,291.6375
217,8029,2293,1095,56.3277,330.6336,124.6542
218,7745,2212,1055,41.3292,242.6424,91.3242
219,7589,2167,1035,57.9942,341.6325,128.6538
220,7578,2164,1033,134.9865,793.9206,298.9701
221,7797,2227,1063,290.3043,1708.8291,643.6023
222,8521,2434,1161,466.62,2745.3921,1033.8966
223,9893,2825,1349,577.2756,3395.6604,1278.8721
224,10626,3035,1449,661.6005,3891.9441,1465.5201
225,10665,3046,1454,696.9303,4101.5898,1544.5122
226,10719,3061,1461,666.9333,3924.9408,1478.1855
227,10723,3062,1462,663.267,3902.943,1469.853
228,10619,3033,1448,687.5979,4046.262,1523.8476
229,10444,2983,1424,730.9269,4299.9033,1619.1714
230,10355,2957,1412,758.9241,4465.2201,1681.4985
231,10262,2930,1399,820.5846,4829.1837,1818.4848
232,10332,2950,1408,871.2462,5126.8206,1930.8069
233,11008,3144,1501,846.9153,4983.5016,1876.8123
234,11778,3363,1605,796.2537,4685.8647,1764.4902
235,11691,3339,1594,655.9344,3858.9474,1453.188
236,11401,3256,1555,481.6185,2833.3833,1067.2266
237,10973,3134,1496,348.6318,2050.7949,772.2561
238,10250,2927,1398,262.3071,1543.5123,581.2752
239,9297,2655,1267,155.6511,915.2418,344.6322
240,8468,2418,1154,87.9912,518.2815,194.9805
241,7942,2269,1083,58.6608,345.2988,129.987
242,7679,2193,1047,42.9957,253.308,95.3238
243,7558,2158,1030,60.6606,356.9643,134.3199
244,7592,2168,1035,140.9859,828.9171,311.9688
245,7830,2236,1067,303.303,1784.4882,671.9328
246,8613,2459,1174,487.2846,2866.38,1079.5587
247,9991,2854,1363,602.6064,3545.6454,1335.1998
248,10722,3062,1462,690.5976,4063.5936,1530.1803
249,10723,3062,1462,727.9272,4282.2384,1612.8387
250,10659,3044,1453,696.597,4098.2568,1543.179
251,10621,3033,1448,692.5974,4075.2591,1534.5132
252,10536,3009,1436,717.9282,4224.9108,1591.1742
253,10388,2966,1416,762.9237,4489.551,1690.8309
254,10328,2950,1408,792.2541,4662.2004,1755.8244
255,10230,2921,1394,856.9143,5042.1624,1898.8101
256,10299,2941,1404,909.909,5353.1313,2015.7984
257,10965,3131,1495,884.2449,5203.4796,1959.4707
258,11781,3365,1606,831.5835,4892.5107,1842.4824
259,11737,3352,1600,684.5982,4029.2637,1517.1816
260,11448,3270,1560,502.9497,2958.3708,1114.2219
261,11009,3144,1501,363.9636,2141.1192,806.2527
262,10255,2929,1398,273.9726,1611.5055,606.9393
263,9275,2649,1265,162.3171,955.5711,359.964
264,8412,2402,1146,91.9908,540.9459,203.6463
265,7842,2239,1069,61.9938,364.9635,137.3196
266,7529,2150,1026,45.3288,267.6399,100.6566
267,7381,2108,1006,63.9936,376.9623,141.9858
268,7378,2107,1005,148.6518,875.5791,329.6337
269,7607,2172,1037,320.3013,1884.8115,709.929
270,8322,2376,1135,514.6152,3028.0305,1140.2193
271,9608,2744,1310,636.603,3745.2921,1410.5256
272,10497,2998,1431,729.5937,4292.5707,1616.505
273,10744,3068,1464,768.9231,4523.5476,1703.4963
274,10919,3119,1489,735.5931,4329.2337,1630.1703
275,11073,3162,1509,731.5935,4304.9028,1621.1712
276,11112,3173,1515,758.5908,4462.887,1680.4986
277,11068,3161,1509,805.9194,4742.5257,1785.8214
278,11019,3147,1502,836.9163,4924.8408,1854.8145
279,10873,3105,1482,905.2428,5326.134,2005.7994
280,10847,3098,1479,960.9039,5654.4345,2129.4537
281,11364,3246,1550,934.2399,5496.4503,2069.793
282,11951,3413,1630,878.2455,5168.1498,1946.1387
283,11830,3378,1613,723.261,4256.241,1602.8397
284,11479,3278,1565,531.2802,3125.3541,1176.8823
285,10997,3140,1499,384.2949,2261.7738,851.9148
286,10224,2920,1393,289.3044,1702.4964,641.2692
287,9251,2642,1261,171.6495,1009.2324,379.962
288,8405,2400,1146,96.9903,571.6095,215.3118
289,7811,2231,1065,95.3238,561.6105,211.6455
290,7513,2145,1024,67.3266,396.2937,149.3184
291,7371,2105,1004,65.3268,383.6283,144.6522
292,7344,2098,1001,91.3242,538.2795,202.6464
293,7542,2154,1028,169.6497,998.2335,375.9624
294,8217,2347,1120,278.6388,1639.1694,617.2716
295,9501,2713,1295,422.9577,2488.7511,937.2396
296,10340,2953,1409,574.6092,3379.9953,1272.8727
297,10503,3000,1432,728.2605,4285.2381,1613.8386
298,10548,3012,1438,806.586,4745.5254,1787.1546
299,10562,3016,1440,832.5834,4899.8433,1845.1488
300,10516,3003,1434,870.9129,5123.8209,1929.4737
301,10420,2976,1421,925.2408,5444.7888,2050.4616
302,10378,2964,1415,965.9034,5682.765,2140.1193
303,10339,2953,1409,1013.232,5962.0704,2245.1088
304,10489,2995,1430,1039.5627,6116.3883,2303.4363
305,11141,3182,1519,987.9012,5812.0854,2188.7811
306,11795,3369,1608,893.5773,5257.1409,1979.802
307,11688,3338,1594,742.5924,4368.5631,1645.1688
308,11389,3253,1553,577.2756,3396.6603,1279.2054
309,11010,3145,1501,440.6226,2591.7408,975.9024
310,10445,2983,1424,343.9656,2023.131,761.9238
311,9687,2766,1321,239.976,1412.5254,531.9468
312,8931,2550,1217,155.3178,913.5753,343.9656
313,8341,2382,1137,95.9904,565.2768,212.9787
314,7996,2284,1090,123.6543,727.2606,273.9726
315,7802,2229,1064,45.3288,266.3067,100.3233
316,7742,2211,1055,70.6596,415.9584,156.651
317,7823,2234,1066,131.9868,776.9223,292.6374
318,8097,2313,1104,216.645,1274.8725,479.952
319,8611,2459,1174,330.9669,1947.1386,733.26
320,9128,2607,1244,468.6198,2756.391,1038.2295
321,9713,2774,1324,612.2721,3602.973,1356.8643
322,10173,2905,1387,787.9212,4636.5363,1746.1587
323,10367,2960,1414,900.2433,5296.4703,1994.4672
324,10302,2942,1404,923.241,5433.4566,2046.1287
325,10138,2895,1383,919.2414,5408.4591,2036.7963
326,9948,2841,1356,891.5775,5246.4753,1975.8024
327,9858,2815,1344,872.5794,5134.4865,1933.4733
328,9938,2838,1355,834.5832,4910.5089,1849.1484
329,10586,3023,1444,794.2539,4673.8659,1760.1573
330,11470,3276,1564,711.9288,4188.2478,1577.1756
331,11467,3275,1564,612.2721,3602.973,1356.8643
332,11210,3201,1529,489.6177,2881.0452,1084.8915
333,10857,3101,1480,390.2943,2295.7704,864.5802
334,10427,2978,1422,303.303,1785.4881,672.2661
335,9916,2832,1352,218.6448,1287.2046,484.9515
336,9321,2662,1271,148.9851,876.579,329.967
337,8761,2502,1195,53.9946,316.9683,119.3214
338,8426,2406,1149,40.6626,238.9761,89.991
339,8290,2368,1130,58.3275,342.9657,129.3204
340,8274,2363,1128,133.32,784.9215,295.6371
341,8367,2389,1140,274.6392,1616.505,608.9391
342,8600,2456,1172,446.9553,2630.4036,990.5676
343,9002,2571,1227,559.6107,3293.004,1240.2093
344,9436,2694,1287,641.2692,3773.9559,1421.1912
345,10049,2870,1370,674.5992,3968.9364,1494.5172
346,10510,3001,1433,714.2619,4202.913,1582.8417
347,10762,3073,1467,846.9153,4982.5017,1876.479
348,10846,3097,1479,901.9098,5307.4692,1998.8001
349,10837,3095,1478,928.5738,5463.4536,2057.4609
350,10727,3064,1463,910.9089,5359.464,2018.1315
351,10661,3045,1454,901.9098,5307.4692,1998.8001
352,10747,3069,1465,864.5802,5086.4913,1915.4751
353,11443,3268,1560,820.2513,4826.5173,1817.4849
354,12353,3528,1684,725.2608,4267.5732,1607.1726
355,12368,3532,1686,603.9396,3552.978,1337.8662
356,12024,3434,1640,460.2873,2708.3958,1019.898
357,11680,3336,1592,349.965,2058.4608,775.2558
358,11098,3170,1513,243.9756,1434.8565,540.2793
359,10403,2971,1418,150.9849,888.9111,334.6332
360,9707,2772,1323,89.3244,524.9475,197.6469
361,9218,2633,1257,82.9917,488.9511,184.3149
362,8963,2559,1222,59.994,353.298,132.9867
363,8860,2530,1208,55.3278,325.9674,122.6544
364,8864,2532,1208,81.9918,482.2851,181.6485
365,9069,2590,1236,147.6519,869.5797,327.3006
366,9604,2743,1309,242.3091,1426.524,537.2796
367,10488,2995,1430,365.9634,2153.4513,810.9189
368,11139,3181,1519,499.95,2941.3725,1107.5559
369,11587,3309,1580,631.6035,3715.6284,1399.1934
370,11837,3381,1614,700.5966,4123.2543,1552.8447
371,11933,3408,1627,722.5944,4252.2414,1601.5065
372,11838,3381,1614,753.9246,4435.5564,1670.4996
373,11648,3326,1588,802.2531,4720.8612,1777.8222
374,11515,3289,1570,838.2495,4931.5068,1857.1476
375,11370,3247,1550,877.2456,5162.4837,1944.1389
376,11392,3254,1553,899.2434,5291.4708,1992.8007
377,11972,3419,1632,855.5811,5033.4966,1895.4771
378,12745,3640,1737,774.5892,4557.8775,1716.495
379,12604,3600,1718,642.9357,3783.6216,1424.8575
380,12223,3491,1666,497.6169,2927.7072,1102.5564
381,11668,3332,1590,379.962,2234.7765,841.5825
382,10868,3104,1482,294.3039,1732.1601,652.2681
383,9911,2830,1351,206.646,1215.8784,457.9542
384,9028,2579,1231,131.6535,774.2559,291.6375
385,8422,2405,1148,56.3277,330.6336,124.6542
386,8080,2308,1101,41.3292,242.6424,91.3242
387,7926,2264,1080,57.9942,341.6325,128.6538
388,7885,2252,1075,134.9865,793.9206,298.9701
389,8084,2309,1102,290.3043,1708.8291,643.6023
390,8771,2504,1196,466.62,2745.3921,1033.8966
391,10017,2861,1366,577.2756,3395.6604,1278.8721
392,10748,3070,1465,661.6005,3891.9441,1465.5201
393,10856,3101,1480,696.9303,4101.5898,1544.5122
394,10861,3101,1480,666.9333,3924.9408,1478.1855
395,10853,3100,1479,663.267,3902.943,1469.853
396,10811,3087,1474,687.5979,4046.262,1523.8476
397,10754,3071,1466,730.9269,4299.9033,1619.1714
398,10741,3068,1464,758.9241,4465.2201,1681.4985
399,10705,3057,1459,820.5846,4829.1837,1818.4848
400,10808,3086,1474,871.2462,5126.8206,1930.8069
401,11408,3258,1555,846.9153,4983.5016,1876.8123
402,11990,3424,1635,796.2537,4685.8647,1764.4902
403,11823,3376,1612,655.9344,3858.9474,1453.188
404,11467,3275,1563,481.6185,2833.3833,1067.2266
405,10936,3124,1491,348.6318,2050.7949,772.2561
406,10145,2897,1383,262.3071,1543.5123,581.2752
407,9158,2615,1248,155.6511,915.2418,344.6322
408,8270,2362,1127,87.9912,518.2815,194.9805
409,7673,2191,1046,58.6608,345.2988,129.987
410,7368,2104,1004,42.9957,253.308,95.3238
411,7210,2059,983,60.6606,356.9643,134.3199
412,7192,2054,980,140.9859,828.9171,311.9688
413,7428,2121,1013,303.303,1784.4882,671.9328
414,8195,2340,1117,487.2846,2866.38,1079.5587
415,9601,2742,1309,602.6064,3545.6454,1335.1998
416,10337,2952,1409,690.5976,4063.5936,1530.1803
417,10414,2974,1419,727.9272,4282.2384,1612.8387
418,10477,2992,1428,696.597,4098.2568,1543.179
419,10558,3015,1439,692.5974,4075.2591,1534.5132
420,10563,3017,1440,717.9282,4224.9108,1591.1742
421,10514,3003,1434,762.9237,4489.551,1690.8309
422,10502,3000,1432,792.2541,4662.2004,1755.8244
423,10452,2985,1425,856.9143,5042.1624,1898.8101
424,10540,3010,1437,909.909,5353.1313,2015.7984
425,11167,3189,1523,884.2449,5203.4796,1959.4707
426,12222,3491,1666,831.5835,4892.5107,1842.4824
427,12311,3516,1679,684.5982,4029.2637,1517.1816
428,12097,3455,1649,502.9497,2958.3708,1114.2219
429,11681,3336,1592,363.9636,2141.1192,806.2527
430,10975,3135,1496,273.9726,1611.5055,606.9393
431,10076,2878,1373,162.3171,955.5711,359.964
432,9249,2641,1261,91.9908,540.9459,203.6463
433,8734,2494,1191,61.9938,364.9635,137.3196
434,8488,2424,1157,45.3288,267.6399,100.6566
435,8386,2395,1143,63.9936,376.9623,141.9858
436,8405,2400,1146,148.6518,875.5791,329.6337
437,8672,2476,1182,320.3013,1884.8115,709.929
438,9446,2698,1288,514.6152,3028.0305,1140.2193
439,10860,3101,1480,636.603,3745.2921,1410.5256
440,11601,3313,1581,729.5937,4292.5707,1616.505
441,11633,3322,1586,768.9231,4523.5476,1703.4963
442,11574,3306,1578,735.5931,4329.2337,1630.1703
443,11511,3287,1570,731.5935,4304.9028,1621.1712
444,11368,3246,1550,758.5908,4462.887,1680.4986
445,11190,3196,1525,805.9194,4742.5257,1785.8214
446,11078,3164,1510,836.9163,4924.8408,1854.8145
447,10946,3126,1493,905.2428,5326.134,2005.7994
448,11021,3148,1503,960.9039,5654.4345,2129.4537
449,11577,3306,1579,934.2399,5496.4503,2069.793
450,12352,3528,1684,878.2455,5168.1498,1946.1387
451,12330,3521,1681,723.261,4256.241,1602.8397
452,12117,3461,1652,531.2802,3125.3541,1176.8823
453,11631,3322,1585,384.2949,2261.7738,851.9148
454,10865,3103,1481,289.3044,1702.4964,641.2692
455,9900,2827,1350,171.6495,1009.2324,379.962
456,9025,2578,1231,96.9903,571.6095,215.3118
457,8434,2409,1150,95.3238,561.6105,211.6455
458,8100,2314,1105,67.3266,396.2937,149.3184
459,7947,2269,1083,65.3268,383.6283,144.6522
460,7913,2260,1079,91.3242,538.2795,202.6464
461,8152,2329,1111,169.6497,998.2335,375.9624
462,8866,2532,1209,278.6388,1639.1694,617.2716
463,10188,2910,1389,422.9577,2488.7511,937.2396
464,10891,3111,1484,574.6092,3379.9953,1272.8727
465,10970,3133,1495,728.2605,4285.2381,1613.8386
466,11002,3142,1500,806.586,4745.5254,1787.1546
467,11033,3151,1504,832.5834,4899.8433,1845.1488
468,10988,3138,1498,870.9129,5123.8209,1929.4737
469,10865,3103,1481,925.2408,5444.7888,2050.4616
470,10786,3081,1470,965.9034,5682.765,2140.1193
471,10656,3043,1453,1013.232,5962.0704,2245.1088
472,10674,3049,1455,1039.5627,6116.3883,2303.4363
473,11148,3184,1520,987.9012,5812.0854,2188.7811
474,12025,3435,1640,893.5773,5257.1409,1979.802
475,11980,3421,1633,742.5924,4368.5631,1645.1688
476,11686,3337,1593,577.2756,3396.6603,1279.2054
477,11305,3229,1541,440.6226,2591.7408,975.9024
478,10761,3073,1467,343.9656,2023.131,761.9238
479,10019,2861,1366,239.976,1412.5254,531.9468
480,9243,2639,1260,155.3178,913.5753,343.9656
481,8690,2482,1185,95.9904,565.2768,212.9787
482,8380,2393,1142,123.6543,727.2606,273.9726
483,8190,2339,1116,45.3288,266.3067,100.3233
484,8116,2318,1106,70.6596,415.9584,156.651
485,8185,2338,1116,131.9868,776.9223,292.6374
486,8450,2414,1152,216.645,1274.8725,479.952
487,8973,2563,1223,330.9669,1947.1386,733.26
488,9596,2740,1308,468.6198,2756.391,1038.2295
489,10290,2939,1403,612.2721,3602.973,1356.8643
490,10895,3111,1485,787.9212,4636.5363,1746.1587
491,11267,3218,1536,900.2433,5296.4703,1994.4672
492,11426,3263,1558,923.241,5433.4566,2046.1287
493,11425,3263,1558,919.2414,5408.4591,2036.7963
494,11280,3221,1538,891.5775,5246.4753,1975.8024
495,11096,3169,1513,872.5794,5134.4865,1933.4733
496,11018,3146,1502,834.5832,4910.5089,1849.1484
497,11439,3266,1560,794.2539,4673.8659,1760.1573
498,12161,3473,1658,711.9288,4188.2478,1577.1756
499,12036,3437,1641,612.2721,3602.973,1356.8643
500,11619,3318,1584,489.6177,2881.0452,1084.8915
501,11190,3195,1525,390.2943,2295.7704,864.5802
502,10634,3037,1449,303.303,1785.4881,672.2661
503,9951,2842,1357,218.6448,1287.2046,484.9515
504,9283,2651,1266,148.9851,876.579,329.967
505,8761,2502,1195,53.9946,316.9683,119.3214
506,8474,2420,1156,40.6626,238.9761,89.991
507,8336,2380,1136,58.3275,342.9657,129.3204
508,8275,2364,1128,133.32,784.9215,295.6371
509,8330,2379,1136,274.6392,1616.505,608.9391
510,8557,2444,1166,446.9553,2630.4036,990.5676
511,8959,2559,1222,559.6107,3293.004,1240.2093
512,9399,2684,1282,641.2692,3773.9559,1421.1912
513,9982,2850,1361,674.5992,3968.9364,1494.5172
514,10341,2953,1410,714.2619,4202.913,1582.8417
