H2_Resource,Zone,H2_FLEX,H2_GEN_TYPE,H2_Electrolyzer,Blue_H2,Grey_H2,H2_STOR,LDS,New_Build,etaP2G,etaFuel_MMBtu_p_MWh,Inv_Cost_p_MW_yr,Inv_Cost_Charge_p_MW_yr,Inv_Cost_Energy_p_MWh_yr,Fixed_OM_Cost_p_MW_yr,Fixed_OM_Cost_Charge_p_MW_yr,Fixed_OM_Cost_Energy_p_MWh_yr,Var_OM_Cost_p_MWh,Var_OM_Cost_Charge_p_MWh,Fuel,Max_Cap_MW,Min_Cap_MW,Max_Charge_Cap_MW,Min_Charge_Cap_MW,Max_Energy_Cap_MWh,Min_Energy_Cap_MWh,Existing_Cap_MW,Existing_Charge_Cap_MW,Existing_Energy_Cap_MWh,Cap_Size_MW,Ramp_Up_Percentage,Ramp_Down_Percentage,H2Gen_min_output,H2Stor_min_level,H2Stor_max_level,H2Stor_self_discharge_rate_p_hour,H2Stor_Charge_MWh_p_MWh,H2Stor_Charge_MMBtu_p_MWh,H2Stor_eff_charge,H2Stor_eff_discharge,Start_Cost_p_MW,Up_Time,Down_Time,Flexible_Demand_Energy_Eff,Max_Flexible_Demand_Delay,Max_Flexible_Demand_Advance,CCS_Rate,CapRes_1,CapRes_2,CapRes_3
SE_Electrolyzer,1,0,2,1,0,0,0,0,1,1.142712,0,41112.53426,0,0,1052.480877,0,0,0,0,None,-1,0,-1,0,-1,0,0,0,0,1.5752,1,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.95,0,0
MIDAT_Electrolyzer,2,0,2,1,0,0,0,0,1,1.142712,0,41112.53426,0,0,1052.480877,0,0,0,0,None,-1,0,-1,0,-1,0,0,0,0,1.5752,1,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.95,0
NE_Electrolyzer,3,0,2,1,0,0,0,0,1,1.142712,0,41112.53426,0,0,1052.480877,0,0,0,0,None,-1,0,-1,0,-1,0,0,0,0,1.5752,1,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.95
SE_Large_SMR_Non_CCS,1,0,2,0,0,1,0,0,1,0.016404,4.439080752,29902.10236,0,0,13685.61723,0,0,2.250837989,0,SE_reference_naturalgas,-1,0,-1,0,-1,0,0,0,0,791.538,0.5,0.5,0.85,0,0,0,0,0,0,0,0.126968004,3,3,0,0,0,0,0,0,0
MIDAT_Large_SMR_Non_CCS,2,0,2,0,0,1,0,0,1,0.016404,4.439080752,29902.10236,0,0,13685.61723,0,0,2.250837989,0,MIDAT_reference_naturalgas,-1,0,-1,0,-1,0,0,0,0,791.538,0.5,0.5,0.85,0,0,0,0,0,0,0,0.126968004,3,3,0,0,0,0,0,0,0
NE_Large_SMR_Non_CCS,3,0,2,0,0,1,0,0,1,0.016404,4.439080752,29902.10236,0,0,13685.61723,0,0,2.250837989,0,NE_reference_naturalgas,-1,0,-1,0,-1,0,0,0,0,791.538,0.5,0.5,0.85,0,0,0,0,0,0,0,0.126968004,3,3,0,0,0,0,0,0,0
SE_Large_SMR_wCCS_96pct,1,0,2,0,1,0,0,0,1,0.051727,4.720086338,72747.64782,0,0,30029.56635,0,0,6.26789741,0,SE_reference_naturalgas,-1,0,-1,0,-1,0,0,0,0,791.538,0.5,0.5,0.85,0,0,0,0,0,0,0,0.253936008,3,3,0,0,0,0.962,0,0,0
MIDAT_Large_SMR_wCCS_96pct,2,0,2,0,1,0,0,0,1,0.051727,4.720086338,72747.64782,0,0,30029.56635,0,0,6.26789741,0,MIDAT_reference_naturalgas,-1,0,-1,0,-1,0,0,0,0,791.538,0.5,0.5,0.85,0,0,0,0,0,0,0,0.253936008,3,3,0,0,0,0.962,0,0,0
NE_Large_SMR_wCCS_96pct,3,0,2,0,1,0,0,0,1,0.051727,4.720086338,72747.64782,0,0,30029.56635,0,0,6.26789741,0,NE_reference_naturalgas,-1,0,-1,0,-1,0,0,0,0,791.538,0.5,0.5,0.85,0,0,0,0,0,0,0,0.253936008,3,3,0,0,0,0.962,0,0,0
SE_ATR_wCCS_94pct,1,0,2,0,1,0,0,0,1,0.101574,4.436414424,57497.91679,0,0,23292.27286,0,0,9.262366684,0,SE_reference_naturalgas,-1,0,-1,0,-1,0,0,0,0,1082.95,0.5,0.5,0.85,0,0,0,0,0,0,0,0.253936008,22,12,0,0,0,0.945,0,0,0
