BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3
AnnualSum,5.340247825844384e7,8.49355445874415e6,-1.0034917838780902e7,0.0,0.0,0.0,0.0,3.063319912159286e7,0.0,-8.2494314e7,4.7948515484941944e7,2.406755339644212e7,-2.8435200137573138e7,0.0,0.0,0.0,0.0,-2.001679274381089e7,0.0,-2.3564076e7,2.2114734880385228e7,1.3892284049704694e6,-1.6413379075738043e6,0.0,0.0,0.0,0.0,-1.0616406377781883e7,0.0,-1.1246219e7
t18,0.0,325.0,-0.0,0.0,0.0,0.0,0.0,9900.0,-0.0,-10225.0,2116.493572224949,6703.506427775052,-0.0,0.0,0.0,0.0,0.0,-5900.0,-0.0,-2920.0,5394.0,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-0.0,-1394.0
t19,0.0,265.0,-0.0,0.0,0.0,0.0,0.0,9900.0,-0.0,-10165.0,2450.293935010998,6352.706064989002,-0.0,0.0,0.0,0.0,0.0,-5900.0,-0.0,-2903.0,5386.0,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-0.0,-1386.0
t20,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,9854.0,-0.0,-9854.0,2286.8768855645617,6382.123114435439,-0.0,0.0,0.0,0.0,0.0,-5854.0,-0.0,-2815.0,5343.0,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-0.0,-1343.0
t21,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,9490.0,-0.0,-9490.0,2232.5220568510217,5967.477943148979,-0.0,0.0,0.0,0.0,0.0,-5490.0,-0.0,-2710.0,5294.0,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-0.0,-1294.0
t22,0.0,5128.321256220541,-0.0,0.0,0.0,0.0,0.0,3853.678743779459,-0.0,-8982.0,2418.678743779459,0.0,-0.0,0.0,0.0,0.0,0.0,146.32125622054082,-0.0,-2565.0,5225.0,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-0.0,-1225.0
t23,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,8353.0,-0.0,-8353.0,2517.6131533042035,4220.3868466957965,-0.0,0.0,0.0,0.0,0.0,-4353.0,-0.0,-2385.0,5139.0,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-0.0,-1139.0
t24,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,7648.0,-0.0,-7648.0,1929.6914115458128,3902.308588454187,-0.0,0.0,0.0,0.0,0.0,-3648.0,-0.0,-2184.0,5042.0,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-0.0,-1042.0
t25,0.0,3943.915680723795,-0.0,0.0,0.0,0.0,0.0,3107.084319276205,-0.0,-7051.0,1120.084319276205,0.0,-0.0,0.0,0.0,0.0,0.0,892.915680723795,-0.0,-2013.0,4961.0,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-0.0,-961.0
t26,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,6689.0,-0.0,-6689.0,1302.4601078364815,3296.5398921635187,-0.0,0.0,0.0,0.0,0.0,-2689.0,-0.0,-1910.0,4912.0,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-0.0,-912.0
t27,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,6515.0,-0.0,-6515.0,2122.705213460721,2253.294786539279,-0.0,0.0,0.0,0.0,0.0,-2515.0,-0.0,-1861.0,4888.0,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-0.0,-888.0
