Line,1,2
t1,-3850.0,-4000.0
t2,-3424.0,-4000.0
t3,-3107.0,-4000.0
t4,-2947.0,-4000.0
t5,-2922.0,-4000.0
t6,-3045.0,-4000.0
t7,-3307.0,-4000.0
t8,1174.7785534949471,-4000.0
t9,-2554.414059235639,1083.0
t10,5900.0,1373.2510881838734
t11,5900.0,1169.0
t12,2474.0,1181.0
t13,5900.0,1187.0
t14,5900.0,1176.0
t15,492.53605945622166,1165.0
t16,2285.227121906015,1171.0
t17,-5711.9457666666585,-1382.5257488079228
t18,-5900.0,-4000.0
t19,-5900.0,-4000.0
t20,-5854.0,-4000.0
t21,-5490.0,-4000.0
t22,146.32125622054082,-4000.0
t23,-4353.0,-4000.0
t24,-3648.0,-4000.0
t25,892.915680723795,-4000.0
t26,-2689.0,-4000.0
t27,-2515.0,-4000.0
t28,-2476.0,-4000.0
t29,-2618.0,-4000.0
t30,-2980.0,-4000.0
t31,-3523.0,-4000.0
t32,1557.3257515106377,-4000.0
t33,-3850.876051026994,1161.0
t34,2131.648535993585,1236.0
t35,5900.0,2640.5686220714524
t36,5900.0,1316.0
t37,2751.0,1313.0
t38,783.9564991675825,1305.0
t39,-1864.3199698281069,1301.0
t40,-5900.0,1321.0
t41,-5790.09421741302,-1155.5349570745275
t42,-5900.0,-4000.0
t43,-5900.0,-4000.0
t44,905.0391631698267,-4000.0
t45,1355.0391631698267,-4000.0
t46,-5900.0,-4000.0
t47,-5100.0,-4000.0
t48,-4304.0,-4000.0
t49,-3776.0,-4000.0
t50,-3513.0,-4000.0
t51,-3386.0,-4000.0
t52,360.72563970029364,-4000.0
t53,-3667.0,-4000.0
t54,-4455.0,-4000.0
t55,-5848.0,-4000.0
t56,1403.0907457196633,-4000.0
t57,-4414.095550971847,1467.0
t58,3094.0,1477.0
t59,5900.0,1490.0
t60,5900.0,1493.0
t61,3115.0,1487.0
t62,5900.0,1484.0
t63,-339.4927787026836,1479.0
t64,1262.7697819168352,1499.0
t65,-5900.0,-968.3106662237551
t66,-5900.0,-4000.0
t67,-5900.0,-4000.0
t68,-5900.0,-4000.0
t69,-5900.0,-4000.0
t70,-5900.0,-4000.0
t71,-5900.0,-4000.0
t72,-5674.0,-4000.0
t73,-5151.0,-4000.0
t74,-4876.0,-4000.0
t75,-4736.0,-4000.0
t76,-4752.0,-4000.0
t77,-4990.0,-4000.0
t78,686.7518679274458,-4000.0
t79,-5900.0,-4000.0
t80,-5900.0,-4000.0
t81,-5160.966730117791,1614.0
t82,2972.8150114227974,1609.0
t83,3363.0,1605.0
t84,5900.0,1590.0
t85,949.1970422616641,4000.0
t86,5900.0,1554.0
t87,-1673.7301315589038,1541.0
t88,-3256.3103991145254,4000.0
t89,-5900.0,-2101.7006825288368
t90,-5900.0,-2224.5238432525557
t91,-5900.0,-4000.0
t92,-5900.0,-3270.1933832918385
t93,-5900.0,-2965.1193993598836
t94,-5900.0,-4000.0
t95,-5900.0,-4000.0
t96,-5270.0,-4000.0
t97,1405.6332260028537,-4000.0
t98,-4358.0,-4000.0
t99,-4198.0,-4000.0
t100,-4168.0,-4000.0
t101,-4378.0,-4000.0
t102,-5065.0,-4000.0
t103,-5900.0,-4000.0
t104,280.5023663039692,-3373.4632031341425
