Resource,MA_natural_gas_combined_cycle,CT_natural_gas_combined_cycle,ME_natural_gas_combined_cycle,MA_solar_pv,CT_onshore_wind,CT_solar_pv,ME_onshore_wind,MA_battery,CT_battery,ME_battery,Total
t44,0.0,0.0,0.0,0.0,463.4032174971419,0.0,5519.0,8043.039163169827,1812.5576193330317,0.0,15838.0
t45,0.0,0.0,0.0,0.0,1191.3629496585938,0.0,5457.0,8043.039163169827,505.5978871715795,0.0,15197.0
t46,0.0,0.0,0.0,0.0,1489.6698731210142,0.0,5360.0,79.0,7260.3301268789855,0.0,14189.0
t47,0.0,0.0,0.0,0.0,1360.667747342108,0.0,5241.0,0.0,6338.332252657892,0.0,12940.0
t48,0.0,0.0,0.0,0.0,1476.1153511132925,0.0,5132.0,0.0,5199.8846488867075,0.0,11808.0
t49,0.0,0.0,0.0,0.0,1593.5502559093904,0.0,5060.0,0.0,4403.44974409061,0.0,11057.0
t50,0.0,0.0,0.0,0.0,1776.9987795090385,0.0,5024.0,0.0,3881.0012204909617,0.0,10682.0
t51,0.0,0.0,0.0,0.0,1430.4204087104686,0.0,5007.0,0.0,4064.5795912895314,0.0,10502.0
t52,0.0,0.0,0.0,0.0,1753.2743602997064,0.0,5009.0,3761.725639700294,0.0,0.0,10524.0
t53,0.0,0.0,0.0,0.0,2085.4401457238114,0.0,5045.0,0.0,3770.5598542761886,0.0,10901.0
t54,0.0,0.0,0.0,0.0,2072.8055073517385,0.0,5152.0,0.0,4796.194492648261,0.0,12021.0
t55,0.0,0.0,0.0,0.0,1903.9215721892106,0.0,5343.0,0.0,6756.078427810789,0.0,14003.0
t56,0.0,0.0,0.0,0.0,1631.9092542803367,0.0,5449.0,8032.090745719664,0.0,0.0,15113.0
t57,0.0,0.0,0.0,7813.904449028153,0.0,7487.095550971847,0.0,0.0,0.0,0.0,15301.0
t58,0.0,0.0,0.0,15868.012760951442,0.0,0.0,0.0,0.0,0.0,0.0,15868.012760951442
t59,0.0,0.0,0.0,21061.51143294174,0.0,0.0,0.0,0.0,0.0,0.0,21061.51143294174
t60,0.0,0.0,0.0,18343.0,0.0,23504.89750393563,0.0,0.0,0.0,0.0,41847.89750393563
t61,0.0,0.0,0.0,23478.10787176554,0.0,0.0,0.0,0.0,0.0,0.0,23478.10787176554
t62,0.0,0.0,0.0,22590.081469547156,0.0,23488.89750393563,0.0,0.0,0.0,0.0,46078.97897348279
t63,0.0,0.0,0.0,20031.546384467143,0.0,29715.390282638313,0.0,0.0,0.0,0.0,49746.93666710546
t64,0.0,0.0,0.0,13760.769781916835,0.0,1878.2302180831648,0.0,0.0,0.0,0.0,15639.0
t65,0.0,0.0,0.0,4989.689333776245,0.0,11689.287106101045,2584.310666223755,0.0,0.0,0.0,19263.287106101045
t66,0.0,0.0,0.0,0.0,2554.948364363543,0.0,5745.0,2896.0,6999.051635636457,0.0,18195.0
t67,0.0,0.0,0.0,0.0,2586.4056943235287,0.0,5748.0,2921.0,6974.594305676472,0.0,18230.0
t68,0.0,0.0,0.0,0.0,2477.9101705966928,0.0,5719.0,2705.0,7022.089829403307,0.0,17924.0
t69,0.0,0.0,0.0,0.0,2586.4056943235287,0.0,5663.0,2295.0,6796.594305676472,0.0,17341.0
t70,0.0,0.0,0.0,0.0,2577.3224806472,0.0,5565.0,1576.0,6599.6775193528,0.0,16318.0
t71,0.0,0.0,0.0,0.0,2580.538295926454,0.0,5434.0,615.0,6322.461704073547,0.0,14952.0
t72,0.0,0.0,0.0,0.0,2578.7910262820023,0.0,5319.0,0.0,5858.208973717998,0.0,13756.0
t73,0.0,0.0,0.0,0.0,2586.4056943235287,0.0,5247.0,0.0,5178.594305676472,0.0,13012.0
t74,0.0,0.0,0.0,0.0,2583.9668560060945,0.0,5210.0,0.0,4827.0331439939055,0.0,12621.0
t75,0.0,0.0,0.0,0.0,2495.363598318785,0.0,5191.0,0.0,4735.636401681215,0.0,12422.0
t76,0.0,0.0,0.0,0.0,2403.6117408634054,0.0,5193.0,0.0,4847.388259136595,0.0,12444.0
t77,0.0,0.0,0.0,0.0,2343.87805475158,0.0,5226.0,0.0,5214.12194524842,0.0,12784.0
t78,0.0,0.0,0.0,0.0,2093.248132072554,0.0,5327.0,6419.751867927445,0.0,0.0,13840.0
t79,0.0,0.0,0.0,0.0,1685.8971780684858,0.0,5511.0,1184.0,7380.102821931514,0.0,15761.0
t80,0.0,0.0,0.0,0.0,1243.5684545489055,0.0,5611.0,1920.0,8032.431545451094,0.0,16807.0
t81,0.0,0.0,0.0,8287.03326988221,0.0,8540.96673011779,0.0,0.0,0.0,0.0,16828.0
t82,0.0,0.0,0.0,16384.815011422797,0.0,26676.082492512833,0.0,0.0,0.0,0.0,43060.89750393563
t83,0.0,0.0,0.0,22004.12962218175,0.0,0.0,0.0,0.0,0.0,0.0,22004.12962218175
t84,0.0,0.0,0.0,24715.521710922305,0.0,23707.89750393563,0.0,0.0,0.0,0.0,48423.41921485793
t85,0.0,0.0,0.0,24486.23620543149,0.0,28611.700461673965,0.0,0.0,0.0,0.0,53097.93666710546
t86,0.0,0.0,0.0,23590.930898276893,0.0,0.0,0.0,0.0,0.0,0.0,23590.930898276893
t87,0.0,0.0,0.0,19216.309031610923,0.0,31180.627635494533,0.0,0.0,0.0,0.0,50396.93666710546
t88,0.0,0.0,0.0,12166.689600885475,0.0,20668.014883251126,0.0,0.0,0.0,0.0,32834.7044841366
t89,0.0,0.0,0.0,1019.0466910702761,0.13035484699390584,5305.919886421518,452.04557405544125,3200.252626400887,4084.949758731489,3315.6551084733956,17378.0
t90,0.0,0.0,0.0,0.0,252.15377342679017,0.0,3030.0248835136586,4746.476156747444,9323.84622657321,949.4989597388972,18302.0
t91,0.0,0.0,0.0,0.0,753.3329513776413,0.0,3719.809145048831,2872.0,8793.66704862236,2021.190854951169,18160.0
t92,0.0,0.0,0.0,0.0,544.2203025813346,0.0,4971.1933832918385,3303.8066167081615,8917.779697418666,0.0,17737.0
t93,0.0,0.0,0.0,0.0,577.7223595318646,0.0,4600.119399359884,3131.8806006401164,8748.277640468135,0.0,17058.0
t94,0.0,0.0,0.0,0.0,1058.6832963879112,0.0,5528.0,1307.0,8042.3167036120885,0.0,15936.0
t95,0.0,0.0,0.0,0.0,1772.8632357784772,0.0,5391.0,301.0,7041.136764221523,0.0,14506.0
t96,0.0,0.0,0.0,0.0,1448.9722389620433,0.0,5264.0,0.0,6469.027761037956,0.0,13182.0
t97,0.0,0.0,0.0,0.0,1072.3667739971463,0.0,5182.0,6081.633226002854,0.0,0.0,12336.0
t98,0.0,0.0,0.0,0.0,1274.7934632038045,0.0,5140.0,0.0,5470.206536796195,0.0,11885.0
t99,0.0,0.0,0.0,0.0,1406.7491737614291,0.0,5117.0,0.0,5132.250826238571,0.0,11656.0
t100,0.0,0.0,0.0,0.0,1510.705250298855,0.0,5114.0,0.0,4990.294749701145,0.0,11615.0
t101,0.0,0.0,0.0,0.0,1488.2091901595222,0.0,5142.0,0.0,5282.790809840478,0.0,11913.0
t102,0.0,0.0,0.0,0.0,575.0601773235088,0.0,5236.0,0.0,7078.9398226764915,0.0,12890.0
t103,0.0,0.0,0.0,0.0,164.21044491160433,0.0,5414.0,471.0,8697.789555088395,0.0,14747.0
t104,0.0,0.0,0.0,0.0,90.07800810937297,0.0,4891.4632031341425,8043.039163169827,2810.4196255866577,0.0,15834.999999999998
t105,0.0,0.0,0.0,3759.5543995556973,0.0,7819.96366402354,4371.481936420762,0.0,0.0,0.0,15951.0
t106,0.0,0.0,0.0,10205.024720575193,0.0,9118.0,0.0,0.0,0.0,0.0,19323.024720575195
t107,0.0,0.0,0.0,15911.686190568738,0.0,33177.24618635984,0.0,0.0,0.0,0.0,49088.93237692858
t108,0.0,0.0,0.0,21520.08244392337,0.0,31018.854223182087,0.0,0.0,0.0,0.0,52538.93666710546
t109,0.0,0.0,0.0,19467.431251910384,0.0,0.0,0.0,0.0,0.0,0.0,19467.431251910384
t110,0.0,0.0,0.0,17665.902280196857,0.0,29870.36380503966,0.0,0.0,0.0,0.0,47536.266085236515
t111,0.0,0.0,0.0,14459.544655793596,0.0,10021.930563455913,0.0,0.0,0.0,0.0,24481.475219249507
t112,0.0,0.0,0.0,10729.105875982765,0.0,20756.10806144203,0.0,0.0,0.0,0.0,31485.213937424796
t113,0.0,0.0,0.0,3264.588863892992,431.08730432121047,7142.323831785798,5574.0,0.0,0.0,0.0,16412.0
t114,0.0,0.0,0.0,0.0,2479.859699752846,0.0,5676.0,2397.0,6932.140300247154,0.0,17485.0
t115,0.0,0.0,0.0,0.0,2066.745869178622,0.0,5671.0,2352.0,7332.254130821379,0.0,17422.0
t116,0.0,0.0,0.0,0.0,1034.01679183645,0.0,5632.0,2074.0,8285.98320816355,0.0,17026.0
t117,0.0,0.0,0.0,0.0,889.1582766051482,0.0,5571.0,1627.0,8302.841723394851,0.0,16390.0
t118,0.0,0.0,0.0,0.0,5.988866354102934,0.0,2249.448218621036,8043.039163169827,5041.523751855035,0.0,15340.0
t119,0.0,0.0,0.0,0.0,245.26252823077758,0.0,5335.0,0.0,8346.737471769222,0.0,13927.0
t120,0.0,0.0,0.0,0.0,80.3517570765099,0.0,5218.0,0.0,7409.64824292349,0.0,12708.0
t121,0.0,0.0,0.0,0.0,252.42870059287966,0.0,4692.229875221531,0.0,6964.34142418559,0.0,11909.0
t122,0.0,0.0,0.0,0.0,150.38419253523125,0.0,3575.0725261302873,0.0,6225.615807464768,1524.9274738697127,11476.0
t123,0.0,0.0,0.0,0.0,369.6621735270978,0.0,2417.604739988384,0.0,7790.337826472902,676.3952600116158,11253.999999999998
t124,0.0,0.0,0.0,0.0,966.4749641915403,0.0,1592.749845293861,1457.250154706139,7182.5250358084595,0.0,11199.0
t125,0.0,0.0,0.0,0.0,1122.8966914768246,0.0,1232.8678005277854,2035.1321994722146,7081.103308523176,0.0,11472.0
t126,0.0,0.0,0.0,0.0,1127.3870383405333,0.0,943.392872493,8043.039163169827,0.0,2328.18092599664,12442.0
t127,0.0,0.0,0.0,0.0,1457.6563262708414,0.0,1340.4058375702236,843.939053956381,7307.343673729159,3315.6551084733956,14265.0
t128,0.0,0.0,0.0,0.0,2186.740167247972,0.0,2072.184603533034,4300.8153964669655,6798.259832752028,0.0,15358.0
t129,0.0,0.0,0.0,3723.159874874616,0.0,9010.0,2598.140725375103,152.69939975028092,0.0,0.0,15484.0
t130,0.0,0.0,0.0,10696.35080376979,0.0,27661.25795194462,0.0,0.0,0.0,0.0,38357.608755714406
t131,0.0,0.0,0.0,18328.28262939254,0.0,5146.756533777287,0.0,0.0,0.0,0.0,23475.039163169826
t132,0.0,0.0,0.0,22564.6053022704,0.0,26959.331364835056,0.0,0.0,0.0,0.0,49523.93666710546
t133,0.0,0.0,0.0,21643.82382783904,0.0,23380.89750393563,0.0,0.0,0.0,0.0,45024.72133177467
t134,0.0,0.0,0.0,15507.706966608737,0.0,7355.3321965610885,0.0,0.0,0.0,0.0,22863.039163169826
t135,0.0,0.0,0.0,13280.362056126563,0.0,25235.307352533506,0.0,0.0,0.0,0.0,38515.66940866007
t136,0.0,0.0,0.0,7249.789316471392,0.0,7435.210683528608,0.0,0.0,0.0,0.0,14685.0
t137,0.0,0.0,0.0,549.5573226843275,1971.3103156538848,4770.584418953703,5484.895169401199,485.5475079144735,2279.1052653924125,0.0,15541.0
t138,0.0,0.0,0.0,0.0,2502.541678492704,0.0,5569.0,1607.0,6683.458321507296,0.0,16362.0
t139,0.0,0.0,0.0,0.0,2449.4705579310216,0.0,5544.0,1422.0,6684.529442068979,0.0,16100.0
t140,0.0,0.0,0.0,0.0,2386.730870942677,0.0,5499.0,1096.0,6653.269129057323,0.0,15635.0
t141,0.0,0.0,0.0,0.0,2538.9445187497026,0.0,4752.343433105805,1348.6565668941948,6377.055481250298,0.0,15017.0
t142,0.0,0.0,0.0,0.0,2553.3554100284373,0.0,4504.279824221787,952.7201757782132,6201.644589971563,0.0,14212.0
t143,0.0,0.0,0.0,0.0,2515.314446447288,0.0,5257.0,5343.685553552712,0.0,0.0,13116.0
t144,0.0,0.0,0.0,0.0,2383.46248438128,0.0,5028.595273842039,0.0,4577.942241776681,0.0,11990.0
t145,0.0,0.0,0.0,0.0,2437.7850942390855,0.0,4038.1086509545603,2534.843541850286,2108.2627129560683,0.0,11119.0
