Resource,MA_natural_gas_combined_cycle,CT_natural_gas_combined_cycle,ME_natural_gas_combined_cycle,MA_solar_pv,CT_onshore_wind,CT_solar_pv,ME_onshore_wind,MA_battery,CT_battery,ME_battery
Zone,1,2,3,1,2,2,3,1,2,3
t16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1630434782608695,-0.16304347826086954,-0.16304347826086954
t17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1630434782608695,-0.16304347826086954,-0.16304347826086954
t18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1630434782608695,-0.16304347826086954,-0.16304347826086954
t19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1630434782608695,-0.16304347826086954,-0.16304347826086954
t20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1630434782608695,-0.16304347826086954,-0.16304347826086954
t21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1630434782608695,-0.16304347826086954,-0.16304347826086954
t22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1630434782608695,-0.16304347826086954,-0.16304347826086954
t23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1630434782608695,-0.16304347826086954,-0.16304347826086954
t24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1630434782608695,-0.16304347826086954,-0.16304347826086954
t25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1630434782608695,-0.16304347826086954,-0.16304347826086954
t26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1630434782608695,-0.16304347826086954,-0.16304347826086954
t27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1630434782608695,-0.16304347826086954,-0.16304347826086954
t28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1630434782608695,-0.16304347826086954,-0.16304347826086954
t29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1630434782608695,-0.16304347826086954,-0.16304347826086954
t30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1630434782608695,-0.16304347826086954,-0.16304347826086954
t31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1630434782608695,-0.16304347826086954,-0.16304347826086954
t32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1630434782608695,-0.16304347826086954,-0.16304347826086954
t33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1630434782608695,-0.16304347826086954,-0.16304347826086954
t34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1630434782608695,-0.16304347826086954,-0.16304347826086954
t35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1630434782608695,-0.16304347826086954,-0.16304347826086954
t36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1630434782608695,-0.16304347826086954,-0.16304347826086954
